id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target
event_dazzlingcupid_01_s_1,40029,event_dazzlingcupid_01_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_01_s_1,False,Classroom,1,1,1.0,none,,,,,,,,,
event_dazzlingcupid_01_s_2,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_2,False,,1,1,1.0,bgm_story_backtonormal,,,,,,,,,
event_dazzlingcupid_01_s_3,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_3,False,,1,1,1.0,,,,,,,,,,
event_dazzlingcupid_01_s_4,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_4,True,,5,50,0.3,,tia,tia,5,surprise,naga,3,idle,,
event_dazzlingcupid_01_s_5,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_5,False,,50,50,1.0,,,,5,surprise,,3,idle,,
event_dazzlingcupid_01_s_6,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_6,True,,50,50,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_7,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_7,True,,50,50,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_8,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_8,False,,50,5,0.7,,,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_9,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_9,False,,5,4,1.0,,,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_10,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_10,True,,4,4,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_11,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_11,True,,4,4,1.0,,naga,,5,idle,,3,worry,,
event_dazzlingcupid_01_s_12,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_12,True,,4,4,1.0,,tia,,5,delight,,3,worry,,
event_dazzlingcupid_01_s_13,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_13,True,,4,4,1.0,,naga,,5,delight,,3,worry,,
event_dazzlingcupid_01_s_14,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_14,True,,4,4,1.0,,naga,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_15,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_15,True,,4,4,1.0,,naga,,5,idle,,3,delight,,
event_dazzlingcupid_01_s_16,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_16,False,,4,4,1.0,,,,5,idle,,3,delight,,
event_dazzlingcupid_01_s_17,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_17,True,,4,4,1.0,,tia,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_18,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_18,True,,4,4,1.0,,naga,,5,delight,,3,surprise,,
event_dazzlingcupid_01_s_19,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_19,True,,4,4,1.0,,naga,,5,delight,,3,surprise,,
event_dazzlingcupid_01_s_20,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_20,True,,4,4,1.0,,naga,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_21,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_21,True,,4,4,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_22,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_22,True,,4,4,1.0,,naga,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_23,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_23,True,,4,4,1.0,,naga,,5,idle,,3,delight,,
event_dazzlingcupid_01_s_24,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_24,True,,4,4,1.0,,naga,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_25,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_25,True,,4,4,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_26,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_26,True,,4,4,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_01_s_27,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_27,False,,5,50,0.5,,,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_28,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_28,False,,3,30,0.5,,,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_29,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_29,False,,black,black,1.0,,,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_30,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_30,False,,4,4,1.0,,,,5,delight,,3,delight,,
event_dazzlingcupid_01_s_31,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_31,False,,black,black,1.0,,,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_32,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_32,True,ShoppingMall,4,4,1.0,none,tia,,5,surprise,,3,idle,black,
event_dazzlingcupid_01_s_33,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_33,True,,4,4,1.0,bgm_story_onlineshopping,naga,,5,surprise,,3,idle,,
event_dazzlingcupid_01_s_34,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_34,True,,4,4,1.0,,tia,,5,surprise,,3,idle,,
event_dazzlingcupid_01_s_35,40029,event_dazzlingcupid_01_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_01_s_35,False,,4,1,0.5,,,,5,surprise,,3,idle,,
event_dazzlingcupid_01_s_36,40029,event_dazzlingcupid_01_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_01_s_36,False,,1,1,1.0,,,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_37,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_37,True,,3,30,0.5,,naga,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_38,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_38,True,,5,50,0.5,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_39,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_39,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_40,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_40,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_41,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_41,True,,50,50,1.0,,naga,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_42,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_42,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_43,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_43,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_44,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_44,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_45,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_45,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_46,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_46,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_47,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_47,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_48,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_48,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_49,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_49,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_50,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_50,True,,50,50,1.0,,tia,,5,idle,,3,idle,,
event_dazzlingcupid_01_s_51,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_51,True,,50,50,1.0,,tia,,5,shy,,3,idle,,
event_dazzlingcupid_01_s_52,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_52,True,,50,30,0.5,,naga,,5,shy,,3,delight,,
event_dazzlingcupid_01_s_53,40029,event_dazzlingcupid_01_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_01_s_53,True,,30,30,1.0,,naga,,5,shy,,3,delight,,
event_dazzlingcupid_01_s_54,40029,event_dazzlingcupid_01_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_01_s_54,True,,50,500,0.5,,tia,,5,shy,,3,idle,,
