id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_lordforjustice_04_s_1,40078,event_lordforjustice_04_s,Narration,k,Locale_SubScenario:event_lordforjustice_04_s_1,False,ArkCleanIndoor,black,black,1.0,sfx_scn_dooropen,bgm_blurredvision,,moran_c,2,think,k,12,think
event_lordforjustice_04_s_2,40078,event_lordforjustice_04_s,Monologue,k,Locale_SubScenario:event_lordforjustice_04_s_2,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_3,40078,event_lordforjustice_04_s,Self,k,Locale_SubScenario:event_lordforjustice_04_s_3,False,,S_120,S_120,1.3,,,,,2,think,,12,think
event_lordforjustice_04_s_4,40078,event_lordforjustice_04_s,Monologue,k,Locale_SubScenario:event_lordforjustice_04_s_4,False,,S_120,S_120,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_5,40078,event_lordforjustice_04_s,Monologue,k,Locale_SubScenario:event_lordforjustice_04_s_5,False,,S_120,S_120,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_6,40078,event_lordforjustice_04_s,Speech,k,Locale_SubScenario:event_lordforjustice_04_s_6,False,,S_120,S_120,1.0,,,k,,2,think,,12,think
event_lordforjustice_04_s_7,40078,event_lordforjustice_04_s,Monologue,k,Locale_SubScenario:event_lordforjustice_04_s_7,False,,S_120,S_120,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_8,40078,event_lordforjustice_04_s,Monologue,k,Locale_SubScenario:event_lordforjustice_04_s_8,False,,S_120,S_120,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_9,40078,event_lordforjustice_04_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_04_s_9,True,,S_120,1,1.3,,,moran_c,,2,think,,12,think
event_lordforjustice_04_s_10,40078,event_lordforjustice_04_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_04_s_10,True,,1,1,1.0,,,moran_c,,2,think,,12,think
event_lordforjustice_04_s_11,40078,event_lordforjustice_04_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_04_s_11,False,,1,1,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_12,40078,event_lordforjustice_04_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_04_s_12,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_13,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_13,False,,black,black,1.0,sfx_scn_bookpageone,,,,2,think,,12,think
event_lordforjustice_04_s_14,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_14,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_15,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_15,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_16,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_16,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_17,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_17,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_18,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_18,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_19,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_19,False,,black,black,1.0,,,,,2,think,,12,think
event_lordforjustice_04_s_20,40078,event_lordforjustice_04_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_04_s_20,False,,black,black,1.0,,,,,2,think,,12,think
