id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_02,set_filter_01
snowfall_global_08_default_1,80903,snowfall_global_08,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_default_2,80903,snowfall_global_08,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_08_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_default_3,80903,snowfall_global_08,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_1,80903,snowfall_global_08,Monologue,Locale_SubScenario:snowfall_global_08_1,False,Sky_n,L_40,L_40,1.0,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_2,80903,snowfall_global_08,Monologue,Locale_SubScenario:snowfall_global_08_2,False,,L_40,L_40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_3,80903,snowfall_global_08,Monologue,Locale_SubScenario:snowfall_global_08_3,False,HotSpringInnOut_n,L_40,4,1.0,amb_so_inn_out_3,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_4,80903,snowfall_global_08,Monologue,Locale_SubScenario:snowfall_global_08_4,False,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_08_5,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_5,True,,4,L_30,1.0,,,,,,blanc_c,blanc_c,noir_c,5,surprise,blanc_c,3,think,ludmilla_w,1,think,mica_w,13,cry,emma,15,idle,,,,,,,,,,,,,
snowfall_global_08_6,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_6,True,,L_30,L_30,1.0,,,,,,blanc_c,blanc_c,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_7,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_7,True,,L_50,L_50,1.0,,,,,,noir_c,noir_c,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_8,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_8,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_9,80903,snowfall_global_08,Self,Locale_SubScenario:snowfall_global_08_9,False,,S_130,S_130,1.0,,,,,,,,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_10,80903,snowfall_global_08,Self,Locale_SubScenario:snowfall_global_08_10,False,,S_130,S_130,1.0,,,,,,,,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_11,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_11,True,,2,2,1.0,,,,,,blanc_c,blanc_c,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_12,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_12,True,,2,2,1.0,,,,,,blanc_c,blanc_c,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_13,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_13,True,,2,2,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_14,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_14,True,,2,2,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_15,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_15,True,,2,2,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_16,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_16,True,,15,15,1.0,,,,,,emma,emma,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_17,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_17,True,,15,15,1.0,,,,,,emma,emma,,5,surprise,,3,no,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_18,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_18,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_19,80903,snowfall_global_08,Self,Locale_SubScenario:snowfall_global_08_19,False,,4,4,1.0,,,,,,,,,5,surprise,,3,think,,1,think,,13,cry,,15,idle,,,,,,,,,,,,,
snowfall_global_08_20,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_20,True,,13,S_130,1.0,,,,,,mica_w,mica_w,,5,surprise,,3,think,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_21,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_21,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,5,surprise,,3,think,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_22,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_22,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,5,surprise,,3,think,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_23,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_23,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,5,surprise,,3,think,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_24,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_24,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_25,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_25,True,,4,4,1.0,,,,,,noir_c,noir_c,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_26,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_26,True,,4,1,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,angry,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_27,80903,snowfall_global_08,Self,Locale_SubScenario:snowfall_global_08_27,False,,1,1,1.0,,,,,,,,,5,surprise,,3,no,,1,angry,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_28,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_28,True,,1,10,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_29,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_29,True,,10,10,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_30,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_30,True,,10,10,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_31,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_31,True,,10,10,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
snowfall_global_08_32,80903,snowfall_global_08,Speech,Locale_SubScenario:snowfall_global_08_32,True,,10,10,1.0,,,,,,ludmilla_w,ludmilla_w,,5,surprise,,3,no,,1,think,,13,surprise,,15,idle,,,,,,,,,,,,,
