id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_freezeacpu_03_e_1,40030,event_freezeacpu_03_e,Narration,Locale_SubScenario:event_freezeacpu_03_e_1,False,Park,black,black,1.0,none,,,,,anis,1,idle,,poli,13,idle,,,,,,,,,
event_freezeacpu_03_e_2,40030,event_freezeacpu_03_e,Narration,Locale_SubScenario:event_freezeacpu_03_e_2,False,,black,black,1.0,,,,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_3,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_3,True,,10,10,1.0,bgm_story_girlstalk,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_4,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_4,True,,10,10,1.0,,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_5,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_5,True,,10,113,1.0,,poli,poli,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_6,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_6,True,,113,113,1.0,,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_7,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_7,True,,113,113,1.0,,poli,poli,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_8,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_8,True,,113,10,1.0,,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_9,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_9,True,,10,10,1.0,,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
event_freezeacpu_03_e_10,40030,event_freezeacpu_03_e,Speech,Locale_SubScenario:event_freezeacpu_03_e_10,True,,10,10,1.0,,anis,anis,,,,1,idle,,,13,idle,,,,,,,,,
