id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_bgm,characters/2/hide_char_id,characters/0/hide_char_id,play_sound
event_hightechtoy_05_s_1,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_1,False,CityForest_02,black,black,1.0,,,,,,,,,,,,,,,,,,
event_hightechtoy_05_s_2,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,
event_hightechtoy_05_s_3,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_3,True,,130,130,1.0,massproduction01,massproduction01,laplace,1,idle,drake,3,idle,maxwell_w,5,angry,massproduction01,13,idle,bgm_inark,,,
event_hightechtoy_05_s_4,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_4,True,,30,30,1.0,drake,drake,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_5,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_5,True,,130,130,1.0,massproduction01,massproduction01,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_6,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_6,True,,30,30,1.0,drake,drake,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_7,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_7,True,,130,1300,0.2,massproduction01,massproduction01,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_8,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_8,True,,30,300,0.2,drake,drake,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_9,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_9,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,delight,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_10,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_10,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_11,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_11,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_12,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_12,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_13,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_13,True,,13,130,2.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_14,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_14,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_15,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_15,True,,5,50,2.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,delight,,13,idle,,,,
event_hightechtoy_05_s_16,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_16,True,,50,30,1.0,drake,drake,,1,idle,,3,angry,,5,delight,,13,idle,,,,
event_hightechtoy_05_s_17,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_17,True,,30,50,1.0,maxwell_w,maxwell_w,,1,idle,,3,angry,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_18,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_18,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_19,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_19,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_20,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_20,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_21,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_21,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_22,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_22,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_23,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_23,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_24,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_24,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_25,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_25,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,delight,,13,idle,,,,
event_hightechtoy_05_s_26,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_26,True,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,delight,,13,idle,,,,
event_hightechtoy_05_s_27,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_27,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_28,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_28,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_29,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_29,True,,5,5,1.0,maxwell_w,maxwell_w,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_30,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_30,False,,13,13,1.0,massproduction01,massproduction01,,1,idle,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_31,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_31,True,,13,1,1.0,laplace,laplace,,1,angry,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_32,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_32,True,,1,1,1.0,laplace,laplace,,1,angry,,3,idle,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_33,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_33,True,,50,50,1.0,maxwell_w,maxwell_w,,1,angry,,3,idle,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_34,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_34,True,,S_10,S_10,1.0,laplace,laplace,,1,angry,,3,idle,,5,angry,,13,idle,,,,
event_hightechtoy_05_s_35,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_35,True,,30,30,1.0,drake,drake,,1,angry,,3,angry,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_36,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_36,True,,50,50,1.0,maxwell_w,maxwell_w,,1,angry,,3,angry,,5,idle,,13,idle,,,,
event_hightechtoy_05_s_37,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_37,False,,50,5,1.0,,,,1,angry,,3,idle,,5,idle,,13,idle,,maxwell_w,,
event_hightechtoy_05_s_38,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_38,True,,5,113,1.0,laplace,laplace,,1,angry,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_39,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_39,False,,113,113,1.0,,,,1,angry,,3,idle,,,,,13,idle,,,laplace,
event_hightechtoy_05_s_40,40002,event_hightechtoy_05_s,Narration,Locale_SubScenario:event_hightechtoy_05_s_40,False,,113,1,1.0,,,,,,,3,idle,,,,,13,idle,,,,sfx_scn_windowclack
event_hightechtoy_05_s_41,40002,event_hightechtoy_05_s,Self,Locale_SubScenario:event_hightechtoy_05_s_41,False,,1,1,1.0,,,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_42,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_42,False,,1,1,1.0,,,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_43,40002,event_hightechtoy_05_s,Narration,Locale_SubScenario:event_hightechtoy_05_s_43,False,,1,1,1.0,,,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_44,40002,event_hightechtoy_05_s,Monologue,Locale_SubScenario:event_hightechtoy_05_s_44,False,,1,13,2.0,,,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_45,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_45,True,,13,13,1.0,massproduction01,massproduction01,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_46,40002,event_hightechtoy_05_s,Self,Locale_SubScenario:event_hightechtoy_05_s_46,False,,13,13,1.0,massproduction01,,,,,,3,idle,,,,,13,idle,,,,
event_hightechtoy_05_s_47,40002,event_hightechtoy_05_s,Speech,Locale_SubScenario:event_hightechtoy_05_s_47,False,,13,13,1.0,massproduction01,massproduction01,,,,,3,idle,,,,,13,idle,,,,
