id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
d_contents_madeinrush_04_1,82501,d_contents_madeinrush_04,Narration,Locale_SubScenario:d_contents_madeinrush_04_1,False,ade_b,5,surprise,folkwang_b,15,pain,TechIndoor,black,black,1.0,none,,,,,,
d_contents_madeinrush_04_2,82501,d_contents_madeinrush_04,Narration,Locale_SubScenario:d_contents_madeinrush_04_2,False,,5,surprise,,15,pain,,90,50,1.0,,,,,,,
d_contents_madeinrush_04_3,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_3,True,,5,surprise,,15,pain,,50,50,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_4,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_4,True,,5,idle,,15,pain,,50,50,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_5,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_5,True,,5,idle,,15,pain,,50,50,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_6,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_6,True,,5,idle,,15,pain,,50,50,1.0,bgm_story_whosdumber,,unknown,,,,
d_contents_madeinrush_04_7,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_7,False,,5,surprise,,15,pain,,50,500,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_8,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_8,True,,5,surprise,,15,pain,,500,500,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_9,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_9,True,,5,surprise,,15,pain,,500,150,1.0,,folkwang_b,folkwang_b,,,,
d_contents_madeinrush_04_10,82501,d_contents_madeinrush_04,Narration,Locale_SubScenario:d_contents_madeinrush_04_10,False,,5,surprise,,15,pain,,black,black,1.0,,,,,,,
d_contents_madeinrush_04_11,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_11,True,,5,surprise,,15,pain,,150,150,1.0,,folkwang_b,folkwang_b,,,,
d_contents_madeinrush_04_12,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_12,True,,5,surprise,,15,pain,,150,150,1.0,,folkwang_b,folkwang_b,,,,
d_contents_madeinrush_04_13,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_13,True,,5,worry,,15,pain,,50,50,1.0,,ade_b,ade_b,,,,
d_contents_madeinrush_04_14,82501,d_contents_madeinrush_04,Narration,Locale_SubScenario:d_contents_madeinrush_04_14,False,,5,worry,,15,pain,,black,black,1.0,,,,,,,
d_contents_madeinrush_04_15,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_15,True,,5,worry,,15,pain,,150,150,1.0,,folkwang_b,folkwang_b,,,,
d_contents_madeinrush_04_16,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_16,True,,5,worry,,15,pain,,150,150,1.0,,folkwang_b,folkwang_b,,,,
d_contents_madeinrush_04_17,82501,d_contents_madeinrush_04,Narration,Locale_SubScenario:d_contents_madeinrush_04_17,False,,5,worry,,15,pain,,black,black,1.0,,,,coinrushsecurity,17,idle,
d_contents_madeinrush_04_18,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_18,True,,5,worry,,15,surprise,,170,170,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_19,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_19,True,,5,worry,,15,surprise,,170,170,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_20,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_20,True,,5,worry,,15,surprise,,170,16,1.0,,folkwang_b,folkwang_b,,17,idle,
d_contents_madeinrush_04_21,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_21,True,,5,worry,,15,surprise,,16,16,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_22,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_22,True,,5,worry,,15,delight,,16,16,1.0,,folkwang_b,folkwang_b,,17,idle,
d_contents_madeinrush_04_23,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_23,True,,5,worry,,15,delight,,16,16,1.0,,folkwang_b,folkwang_b,,17,idle,
d_contents_madeinrush_04_24,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_24,False,,5,worry,,15,delight,,16,16,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_25,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_25,True,,5,worry,,15,delight,,16,16,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_26,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_26,True,,5,worry,,15,delight,,16,16,1.0,,folkwang_b,folkwang_b,,17,idle,
d_contents_madeinrush_04_27,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_27,True,,5,worry,,15,delight,,16,16,1.0,,coinrushsecurity,coinrushsecurity,,17,idle,
d_contents_madeinrush_04_28,82501,d_contents_madeinrush_04,Speech,Locale_SubScenario:d_contents_madeinrush_04_28,True,,5,worry,,15,pain,,16,16,1.0,,folkwang_b,folkwang_b,,17,idle,
