id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,play_sound,jump_target,characters/1/hide_char_id
event_bluewaterisland2_01_s_1,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_1,False,neon_s,3,idle,mary_s,1,surprise,pepper_s,13,void,Beach_s,XS_130,XS_130,1.0,bgm_story_trauma,,,,
event_bluewaterisland2_01_s_2,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_2,True,,3,idle,,1,surprise,,13,void,,XS_130,XS_130,1.0,,,,,
event_bluewaterisland2_01_s_3,40021,event_bluewaterisland2_01_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_01_s_3,False,,3,idle,,1,surprise,,13,void,,black,black,1.0,,,,,
event_bluewaterisland2_01_s_4,40021,event_bluewaterisland2_01_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_01_s_4,True,,3,idle,,1,surprise,,13,void,,XS_130,10,1.0,,,,,
event_bluewaterisland2_01_s_5,40021,event_bluewaterisland2_01_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_01_s_5,True,,3,idle,,1,surprise,,13,void,,10,10,1.0,,,,,
event_bluewaterisland2_01_s_6,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_6,False,,3,idle,,1,surprise,,13,shy,,10,XS_130,0.3,,,,,
event_bluewaterisland2_01_s_7,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_7,True,,3,idle,,1,surprise,,13,shy,,XS_130,XS_130,1.0,,,,,
event_bluewaterisland2_01_s_8,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_8,True,,3,idle,,1,surprise,,13,shy,,XS_130,XS_130,1.0,,,,,
event_bluewaterisland2_01_s_9,40021,event_bluewaterisland2_01_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_01_s_9,True,,3,idle,,1,surprise,,13,shy,,XS_130,XS_130,1.0,,,,,
event_bluewaterisland2_01_s_10,40021,event_bluewaterisland2_01_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_01_s_10,True,,3,idle,,1,sad,,13,shy,,XS_130,12,1.0,,,,,
