id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/set_char_position,characters/3/set_char_anim,characters/3/show_char_id
event_unbreakablesphere2_01_e_1,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_1,True,Hospital,30,3,1.0,none,,,mori,1,think,mana,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_2,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_2,True,,3,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_3,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_3,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_4,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_4,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_5,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_5,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_6,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_6,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_7,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_7,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_8,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_8,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_9,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_9,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_10,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_10,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_11,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_11,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_12,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_12,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_13,40076,event_unbreakablesphere2_01_e,Speech,mana,mana,Locale_MainScenario:event_unbreakablesphere2_01_e_13,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_14,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_14,True,,31,31,1.0,,,,,1,think,,3,idle,,,,,15,idle,
event_unbreakablesphere2_01_e_15,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_15,True,CountryVillage_d,1300,1300,1.0,,black,,,1,think,,3,idle,mana,mihara_b,13,idle,15,idle,yuni_n
event_unbreakablesphere2_01_e_16,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_16,True,,1300,S_100,1.0,,,,,1,think,,,,,,13,idle,15,idle,
event_unbreakablesphere2_01_e_17,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_17,True,,S_100,S_100,1.0,,,,,1,think,,,,,,13,idle,15,idle,
event_unbreakablesphere2_01_e_18,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_18,True,,S_100,S_10,1.0,,,,,1,think,,,,,,13,idle,15,idle,
event_unbreakablesphere2_01_e_19,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_19,True,,S_10,113,1.0,,,,,1,think,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_20,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_20,True,,113,113,1.0,,,,,1,think,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_21,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_21,True,,113,113,1.0,,,,,1,think,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_22,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_22,True,,113,113,1.0,,,,,1,think,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_23,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_23,True,,113,113,1.0,,,,,1,think,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_24,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_24,True,,113,113,1.0,,,,,1,idle,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_25,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_25,True,,113,113,1.0,,,,,1,idle,,,,,,13,sad_01,15,idle,
event_unbreakablesphere2_01_e_26,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_26,True,,1300,1300,1.0,event_bgm_ubsphere_cant,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_27,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_27,True,,S_100,S_100,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_28,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_28,True,,1300,1300,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_29,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_29,False,,S_100,S_10,0.5,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_30,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_30,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_31,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_31,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_32,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_32,True,,S_10,113,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_33,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_33,True,,113,113,1.0,,,,,1,idle,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_34,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_34,True,,113,113,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_35,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_35,True,,113,113,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_36,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_36,True,,S_10,S_100,0.5,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_37,40076,event_unbreakablesphere2_01_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_01_e_37,True,,S_100,S_100,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_38,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_38,True,,S_100,1300,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_39,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_39,True,,1300,1300,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_40,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_40,True,,1300,1300,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_41,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_41,True,,1300,1300,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_42,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_42,True,,1300,1300,1.0,,,,,1,angry,,,,,,13,think,15,idle,
event_unbreakablesphere2_01_e_43,40076,event_unbreakablesphere2_01_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_01_e_43,True,,1300,130,1.0,,,,,1,angry,,,,,,13,think,15,idle,
