id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_lastkingdom1_03_s_1,40045,event_lastkingdom1_03_s,Narration,Locale_MainScenario:event_lastkingdom1_03_s_1,False,Crowncastlebedroom_d,black,black,1.0,bgm_story_girls,,,,,kilo,1,idle,,crown,13,idle,,chime,3,idle,,,,,
event_lastkingdom1_03_s_2,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_2,True,,113,113,1.0,,crown,crown,,,,1,idle,,,13,idle,,,3,idle,,,,,
event_lastkingdom1_03_s_3,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_3,True,,113,113,1.0,,kilo,kilo,,,,1,idle,,,13,idle,,,3,idle,,,,,
event_lastkingdom1_03_s_4,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_4,True,,113,113,1.0,,crown,crown,,,,1,idle,,,13,idle,,,3,idle,,,,,
event_lastkingdom1_03_s_5,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_5,True,,113,113,1.0,,kilo,kilo,,,,1,idle,,,13,idle,,,3,idle,,,,,
event_lastkingdom1_03_s_6,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_6,True,,XXS_30,XXS_30,1.0,,chime,chime,,,,1,idle,,,13,idle,,,3,special,,,,,
event_lastkingdom1_03_s_7,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_7,True,,130,130,1.0,,crown,crown,,,,1,idle,,,13,delight,,,3,special,,,,,
event_lastkingdom1_03_s_8,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_8,True,,XXS_30,XXS_300,1.0,,chime,chime,,,,1,idle,,,13,delight,,,3,special,,,,,
event_lastkingdom1_03_s_9,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_9,True,,XXS_300,113,1.0,,crown,crown,,,,1,idle,,,13,delight,,,3,special,,,,,
event_lastkingdom1_03_s_10,40045,event_lastkingdom1_03_s,Speech,Locale_MainScenario:event_lastkingdom1_03_s_10,True,,113,113,1.0,,kilo,kilo,,,,1,idle,,,13,delight,,,3,special,,,,,
