id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
event_coinsinrush2_01_s_1,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_1,False,Corridor,10,10,1.0,sfx_scn_nearrunaway,bgm_story_armageddon,,,,,,,,,,,,,
event_coinsinrush2_01_s_2,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_2,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_3,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_3,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_4,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_4,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_5,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_5,True,,10,10,1.0,,,dastardlymaleguest,,,,,,,,,,,,
event_coinsinrush2_01_s_6,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_6,True,,10,10,1.0,,,coinrushguests,,,,,,,,,,,,
event_coinsinrush2_01_s_7,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_7,True,,10,10,1.0,,,activefemaleguest,,,,,,,,,,,,
event_coinsinrush2_01_s_8,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_8,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_9,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_9,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_10,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_10,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_11,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_11,False,,10,10,1.0,sfx_scn_nearrunaway,,,,,,,,,,,,,,
event_coinsinrush2_01_s_12,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_12,True,,10,10,1.0,,,exia_b_op,exia_b_op,exia_b_op,OP_leftup,idle,,,,,,,,
event_coinsinrush2_01_s_13,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_13,True,,10,10,1.0,,,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,,,,
event_coinsinrush2_01_s_14,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_14,False,,10,10,1.0,,,,,,OP_leftup,idle,,,,,,,,
event_coinsinrush2_01_s_15,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_15,False,,10,10,1.0,sfx_scn_nearrunaway,,,,,OP_leftup,idle,,,,,,,,
event_coinsinrush2_01_s_16,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_16,False,,10,10,1.0,,,,,,OP_leftup,idle,,,,,,,,
event_coinsinrush2_01_s_17,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_17,False,ArkCleanIndoor,black,black,1.0,sfx_scn_dooropenandclose,none,,,,OP_leftup,idle,exia_b_op,,,,,,,
event_coinsinrush2_01_s_18,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_18,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_19,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_19,False,,10,10,1.0,sfx_scn_down,,,,,,,,,,,,,,
event_coinsinrush2_01_s_20,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_20,False,,10,10,1.0,,,,,,,,,,,,,,,
event_coinsinrush2_01_s_21,40089,event_coinsinrush2_01_s,Narration,Locale_MainScenario:event_coinsinrush2_01_s_21,False,,10,10,1.0,sfx_scn_rustle,,,,bay_b,15,worry,,,,,,,,
event_coinsinrush2_01_s_22,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_22,False,,10,10,1.0,,,,,,15,worry,,,,,,,,
event_coinsinrush2_01_s_23,40089,event_coinsinrush2_01_s,Monologue,Locale_MainScenario:event_coinsinrush2_01_s_23,False,,10,150,1.0,,,,,,15,worry,,,,,,,,
event_coinsinrush2_01_s_24,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_24,True,,150,150,1.0,,bgm_story_languor,bay_b,bay_b,,15,worry,,,,,,,,
event_coinsinrush2_01_s_25,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_25,False,,150,150,1.0,,,,bay_b,,15,worry,,,,,,,,
event_coinsinrush2_01_s_26,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_26,True,,150,150,1.0,,,bay_b,bay_b,,15,idle,,,,,,,,
event_coinsinrush2_01_s_27,40089,event_coinsinrush2_01_s,Speech,Locale_MainScenario:event_coinsinrush2_01_s_27,True,,150,150,1.0,,,bay_b,bay_b,,15,idle,,,,,,,,
event_coinsinrush2_01_s_28,40089,event_coinsinrush2_01_s,Self,Locale_MainScenario:event_coinsinrush2_01_s_28,False,,150,150,1.0,,,,bay_b,,15,idle,,,,,,,,
