id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_ce003_1_03_s_1,40041,event_ce003_1_03_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_1_03_s_1,True,CommanderRoom,150,14,2.0,event_bgm_ce003_story_1,,rapi,1,idle,anis,3,worry,neon,5,idle,ce_003_01,13,worry,ce_003_02,15,surprise,,ce_003_03,17,no
event_ce003_1_03_s_2,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_2,True,,14,14,1.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,surprise,,,17,no
event_ce003_1_03_s_3,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_3,True,,14,12,2.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,worry,,,17,no
event_ce003_1_03_s_4,40041,event_ce003_1_03_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_1_03_s_4,True,,170,170,1.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,worry,,,17,no
event_ce003_1_03_s_5,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_5,True,,30,30,1.0,,,,1,idle,,3,angry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_6,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_6,True,,30,30,1.0,,,,1,idle,,3,angry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_7,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_7,True,,30,30,1.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_8,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_8,True,,30,S_50,1.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_9,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_9,True,,S_50,S_50,1.0,,,,1,idle,,3,worry,,5,no,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_10,40041,event_ce003_1_03_s,Self,neon,,Locale_SubScenario:event_ce003_1_03_s_10,False,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,no,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_11,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_11,True,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,no,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_12,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_12,True,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,no,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_13,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_13,True,,S_50,30,2.0,,,,1,idle,,3,void,,5,surprise,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_14,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_14,True,,30,10,1.0,,,,1,think,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_15,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_15,True,,10,10,1.0,,,,1,think,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_16,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_16,True,,10,10,1.0,,,,1,worry,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_17,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_17,True,,10,10,1.0,,,,1,worry,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_18,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_18,True,,10,2,1.0,,,,1,worry,,3,delight,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_19,40041,event_ce003_1_03_s,Self,anis,,Locale_SubScenario:event_ce003_1_03_s_19,False,,2,2,1.0,,,,1,worry,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_20,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_20,True,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_21,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_21,True,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_22,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_22,True,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_23,40041,event_ce003_1_03_s,Self,rapi,,Locale_SubScenario:event_ce003_1_03_s_23,False,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_24,40041,event_ce003_1_03_s,Self,rapi,,Locale_SubScenario:event_ce003_1_03_s_24,False,,2,2,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_25,40041,event_ce003_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_03_s_25,True,,2,2,1.0,,,,1,think,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_26,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_26,True,,2,2,1.0,,,,1,think,,3,sad,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_27,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_27,True,,2,2,1.0,,,,1,think,,3,worry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_28,40041,event_ce003_1_03_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_1_03_s_28,True,,2,12,1.0,,,,1,think,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_29,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_29,True,,S_50,S_50,1.0,,,,1,idle,,3,void,,5,delight,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_30,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_30,True,,S_50,30,1.0,,,,1,idle,,3,worry,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_31,40041,event_ce003_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_03_s_31,True,,30,30,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_32,40041,event_ce003_1_03_s,Self,anis,,Locale_SubScenario:event_ce003_1_03_s_32,False,,30,30,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_33,40041,event_ce003_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_03_s_33,True,,30,4,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_34,40041,event_ce003_1_03_s,Monologue,neon,,Locale_SubScenario:event_ce003_1_03_s_34,False,,4,4,1.0,,sfx_scn_clothrustle,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
event_ce003_1_03_s_35,40041,event_ce003_1_03_s,Monologue,neon,,Locale_SubScenario:event_ce003_1_03_s_35,False,,4,4,1.0,,,,1,idle,,3,void,,5,idle,,13,worry,,15,worry,,,17,idle
