id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_02
event_overthehorizon_02_e_1,40081,event_overthehorizon_02_e,Narration,Locale_SubScenario:event_overthehorizon_02_e_1,False,sora,1,idle,anis,13,angry,neon,15,worry,rapi,17,think,cielo,19,no,MachineRoom,black,black,1.0,sfx_scn_elecguitarstrum,bgm_story_epicjazzymoods,,,,,,,,,,,,,
event_overthehorizon_02_e_2,40081,event_overthehorizon_02_e,Monologue,Locale_SubScenario:event_overthehorizon_02_e_2,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,500,50,1.0,,,,,,,,,,,,,,,
event_overthehorizon_02_e_3,40081,event_overthehorizon_02_e,Narration,Locale_SubScenario:event_overthehorizon_02_e_3,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,50,50,1.0,sfx_scn_drumfill,,,,,,,,,,,,,,
event_overthehorizon_02_e_4,40081,event_overthehorizon_02_e,Monologue,Locale_SubScenario:event_overthehorizon_02_e_4,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,50,50,1.0,,,,,,,,,,,,,,,
event_overthehorizon_02_e_5,40081,event_overthehorizon_02_e,Narration,Locale_SubScenario:event_overthehorizon_02_e_5,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,50,50,1.0,,,,,,,,,,,,,,,
event_overthehorizon_02_e_6,40081,event_overthehorizon_02_e,Monologue,Locale_SubScenario:event_overthehorizon_02_e_6,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,50,50,1.0,,,,,,,,,,,,,,,
event_overthehorizon_02_e_7,40081,event_overthehorizon_02_e,Monologue,Locale_SubScenario:event_overthehorizon_02_e_7,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,50,50,1.0,,,,,,,,,,,,,,,
event_overthehorizon_02_e_8,40081,event_overthehorizon_02_e,Speech,Locale_SubScenario:event_overthehorizon_02_e_8,True,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,130,1300,0.7,,,anis,anis,,,,,,,,,,,
event_overthehorizon_02_e_9,40081,event_overthehorizon_02_e,Speech,Locale_SubScenario:event_overthehorizon_02_e_9,True,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,1300,S_1500,1.0,,,neon,neon,,,,,,,,,,,
event_overthehorizon_02_e_10,40081,event_overthehorizon_02_e,Speech,Locale_SubScenario:event_overthehorizon_02_e_10,True,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,S_1500,1700,1.0,,,rapi,rapi,,,,,,,,,,,
event_overthehorizon_02_e_11,40081,event_overthehorizon_02_e,Speech,Locale_SubScenario:event_overthehorizon_02_e_11,True,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,1700,1900,1.0,,,cielo,cielo,,,,,,,,,,,
event_overthehorizon_02_e_12,40081,event_overthehorizon_02_e,Speech,Locale_SubScenario:event_overthehorizon_02_e_12,True,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,1900,190,1.0,,,cielo,cielo,,,,,,,,,,,
event_overthehorizon_02_e_13,40081,event_overthehorizon_02_e,Monologue,Locale_SubScenario:event_overthehorizon_02_e_13,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,190,190,1.0,,,cielo,,,,,,,,,,,,
event_overthehorizon_02_e_14,40081,event_overthehorizon_02_e,Self,Locale_SubScenario:event_overthehorizon_02_e_14,False,,1,idle,,13,angry,,15,worry,,17,think,,19,no,,190,190,1.0,,,cielo,,,,,,,,,,,,
