id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
event_ce003_1_prologue_1,40041,event_ce003_1_prologue,Narration,collector,Locale_SubScenario:event_ce003_1_prologue_1,False,Desert_01,4,1,2.0,ambient_scn_wind,,,,,,,,,,,,
event_ce003_1_prologue_2,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_2,False,,1,1,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_3,40041,event_ce003_1_prologue,Narration,collector,Locale_SubScenario:event_ce003_1_prologue_3,False,,1,100,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_4,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_4,False,,100,100,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_5,40041,event_ce003_1_prologue,Narration,collector,Locale_SubScenario:event_ce003_1_prologue_5,False,,100,100,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_6,40041,event_ce003_1_prologue,Narration,collector,Locale_SubScenario:event_ce003_1_prologue_6,False,,black,black,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_7,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_7,False,,100,100,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_8,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_8,False,,100,100,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_9,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_9,False,,100,100,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_10,40041,event_ce003_1_prologue,Speech,collector,Locale_SubScenario:event_ce003_1_prologue_10,False,,100,100,1.0,,collector,,,,,,,,,,,
event_ce003_1_prologue_11,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_11,False,,100,10,2.0,,,,,,,,,,,,,
event_ce003_1_prologue_12,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_12,False,,10,10,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_13,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_13,False,,10,10,1.0,,,sfx_scn_wind,,,,,,,,,,
event_ce003_1_prologue_14,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_14,False,,black,black,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_15,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_15,False,White,10,1,2.0,,,sfx_scn_rapturehowl,,,,,,,,,,
event_ce003_1_prologue_16,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_16,False,,1,1,1.0,,,,,,,,,,,,,
event_ce003_1_prologue_17,40041,event_ce003_1_prologue,Narration,,Locale_SubScenario:event_ce003_1_prologue_17,False,Desert_01,black,black,1.0,bgm_recognition_underworld,,,ce_003_01,1,worry,ce_003_02,13,worry,ce_003_03,15,idle,black
event_ce003_1_prologue_18,40041,event_ce003_1_prologue,Speech,ce_003_01,Locale_SubScenario:event_ce003_1_prologue_18,True,,S_10,S_10,1.0,,ce_003_01,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_19,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_19,True,,150,150,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_20,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_20,True,,150,130,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_21,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_21,True,,130,130,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_22,40041,event_ce003_1_prologue,Narration,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_22,False,,130,14,1.0,,,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_23,40041,event_ce003_1_prologue,Narration,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_23,False,,14,12,2.0,,,sfx_scn_emptywind,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_24,40041,event_ce003_1_prologue,Narration,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_24,False,,12,12,1.0,,,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_25,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_25,True,,12,12,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_26,40041,event_ce003_1_prologue,Speech,ce_003_01,Locale_SubScenario:event_ce003_1_prologue_26,True,,12,12,1.0,,ce_003_01,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_27,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_27,True,,12,14,1.0,,ce_003_03,,,1,worry,,13,worry,,15,surprise,
event_ce003_1_prologue_28,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_28,True,,14,14,1.0,,ce_003_03,,,1,worry,,13,worry,,15,surprise,
event_ce003_1_prologue_29,40041,event_ce003_1_prologue,Narration,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_29,False,,14,14,1.0,,,,,1,worry,,13,worry,,15,surprise,
event_ce003_1_prologue_30,40041,event_ce003_1_prologue,Narration,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_30,False,,14,130,1.0,,,,,1,worry,,13,worry,,15,surprise,
event_ce003_1_prologue_31,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_31,True,,130,130,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_32,40041,event_ce003_1_prologue,Speech,ce_003_04,Locale_SubScenario:event_ce003_1_prologue_32,True,,130,130,1.0,,ce_003_04,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_33,40041,event_ce003_1_prologue,Speech,ce_003_04,Locale_SubScenario:event_ce003_1_prologue_33,True,,130,130,1.0,,ce_003_04,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_34,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_34,True,,130,130,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_35,40041,event_ce003_1_prologue,Speech,ce_003_03,Locale_SubScenario:event_ce003_1_prologue_35,True,,130,14,1.0,,ce_003_03,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_36,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_36,True,,14,14,1.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
event_ce003_1_prologue_37,40041,event_ce003_1_prologue,Speech,ce_003_02,Locale_SubScenario:event_ce003_1_prologue_37,True,,14,130,2.0,,ce_003_02,,,1,worry,,13,worry,,15,idle,
