id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,play_sound
event_darkhero_05_s_1,40047,event_darkhero_05_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_05_s_1,False,exia_op,OP_center,idle,Backstreet_n,1,1,1.0,bgm_enemyclose,,,,,,,
event_darkhero_05_s_2,40047,event_darkhero_05_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_05_s_2,False,,OP_center,idle,,1,10,1.0,,,,,,,,
event_darkhero_05_s_3,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_3,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_4,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_4,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_5,40047,event_darkhero_05_s,Self,exia_op,Locale_SubScenario:event_darkhero_05_s_5,False,,OP_center,idle,,10,10,1.0,,,,,,,,
event_darkhero_05_s_6,40047,event_darkhero_05_s,Self,exia_op,Locale_SubScenario:event_darkhero_05_s_6,False,,OP_center,idle,,10,10,1.0,,,,,,,,
event_darkhero_05_s_7,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_7,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_8,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_8,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_9,40047,event_darkhero_05_s,Self,exia_op,Locale_SubScenario:event_darkhero_05_s_9,False,,OP_center,idle,,10,10,1.0,,,,,,,,
event_darkhero_05_s_10,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_10,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_11,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_11,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_12,40047,event_darkhero_05_s,Speech,exia_op,Locale_SubScenario:event_darkhero_05_s_12,True,,OP_center,idle,,10,10,1.0,,exia_op,,,,,,
event_darkhero_05_s_13,40047,event_darkhero_05_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_05_s_13,False,,OP_center,idle,,10,1,1.0,,,,,,,,
event_darkhero_05_s_14,40047,event_darkhero_05_s,Self,exia_op,Locale_SubScenario:event_darkhero_05_s_14,False,,OP_center,idle,,1,1,1.0,,,,,,,,
