id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_overzone2_04_s_1,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_1,True,RuinIndoor,14,14,1.0,bgm_story_fall,,,snowwhite,1,idle,hongryeon,13,sad,rapunzel,15,sad,,,,,,,
event_overzone2_04_s_2,80304,event_overzone2_04_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_2,True,,14,14,1.0,,,,,1,idle,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_3,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_3,True,,L_10,L_10,1.0,,,,,1,idle,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_4,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_4,True,,L_10,L_10,1.0,,,,,1,idle,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_5,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_5,True,,L_10,L_10,1.0,,,,,1,idle,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_6,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_6,True,,L_10,L_10,1.0,,,,,1,idle,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_7,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_7,True,,L_10,L_10,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_8,80304,event_overzone2_04_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_8,True,,14,14,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_9,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_9,True,,14,14,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_10,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_10,True,,14,14,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_11,80304,event_overzone2_04_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_11,False,,14,14,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_12,80304,event_overzone2_04_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_12,True,,14,14,1.0,,,,,1,pain,,13,sad,,15,sad,,,,,,,
event_overzone2_04_s_13,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_13,True,,14,130,1.0,,,,,1,pain,,13,no,,15,sad,,,,,,,
event_overzone2_04_s_14,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_14,True,,L_10,L_10,1.0,,,,,1,idle,,13,no,,15,sad,,,,,,,
event_overzone2_04_s_15,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_15,True,,130,130,1.0,,,,,1,idle,,13,surprise,,15,sad,,,,,,,
event_overzone2_04_s_16,80304,event_overzone2_04_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_04_s_16,True,,150,150,1.0,,,,,1,idle,,13,surprise,,15,sad,,,,,,,
event_overzone2_04_s_17,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_17,True,,12,12,1.0,,,,,1,idle,,13,surprise,,15,sad,,,,,,,
event_overzone2_04_s_18,80304,event_overzone2_04_s,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone2_04_s_18,True,,12,12,1.0,,,,,1,idle,,13,surprise,,15,sad,,,,,,,
event_overzone2_04_s_19,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_19,True,,12,12,1.0,,,,,1,idle,,13,no,,15,sad,,,,,,,
event_overzone2_04_s_20,80304,event_overzone2_04_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_04_s_20,True,,12,12,1.0,,,,,1,idle,,13,no,,15,sad,,,,,,,
