id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,fade,play_sound
event_icedragonsaga1_04_s_1,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_1,True,maiden_w,1,worry,guillotine_w_no,13,idle,DiningRoom_d,XS_130,XS_130,1.0,event_bgm_icedragonsaga_anotherhero,,,,,,,,,
event_icedragonsaga1_04_s_2,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_2,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_3,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_3,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_4,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_4,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_5,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_5,True,,1,worry,,13,worry,,XS_130,XS_130,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_6,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_6,True,,1,worry,,13,worry,,XS_130,XS_130,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_7,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_7,True,,1,worry,,13,worry,,XS_130,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_8,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_8,True,,1,worry,,13,worry,,12,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_9,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_9,True,,1,worry,,13,worry,,12,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_10,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_10,True,,1,worry,,13,idle,,12,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_11,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_11,True,,1,shy,,13,idle,,12,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_12,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_12,True,,1,shy,,13,idle,,12,12,1.0,,,,,,,,,,
event_icedragonsaga1_04_s_13,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_13,True,,1,no,,13,idle,,12,L_10,0.7,,,,,,,,,,
event_icedragonsaga1_04_s_14,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_14,True,,1,no,,13,idle,,L_10,2,1.5,,privaty_m,3,idle,,,,,,
event_icedragonsaga1_04_s_15,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_15,True,,1,no,,13,idle,,2,2,1.0,,,3,idle,,,,,,
event_icedragonsaga1_04_s_16,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_16,True,,1,no,,13,idle,,2,2,1.0,,,3,idle,,,,,,
event_icedragonsaga1_04_s_17,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_17,True,,1,no,,13,idle,,2,2,1.0,,,3,idle,,,,,,
event_icedragonsaga1_04_s_18,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_18,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle,,,,,,
event_icedragonsaga1_04_s_19,40064,event_icedragonsaga1_04_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_s_19,True,,1,worry,,13,idle,,2,2,1.0,,,3,idle,,,,,,
event_icedragonsaga1_04_s_20,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_20,True,,1,worry,,13,idle,,2,2,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_21,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_21,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_22,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_22,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_23,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_23,True,,1,worry,,13,idle,,XS_130,XS_130,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_24,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_24,True,,1,worry,,13,delight,,XS_130,XS_130,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_25,40064,event_icedragonsaga1_04_s,Speech,privaty_m,privaty_m,Locale_MainScenario:event_icedragonsaga1_04_s_25,True,,1,worry,,13,delight,,30,30,1.0,,,3,no,,,,,,
event_icedragonsaga1_04_s_26,40064,event_icedragonsaga1_04_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_s_26,True,,1,worry,,13,worry,,XS_130,XS_130,1.0,,,3,no,,,,,,
