id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,fade
event_ce006_1_01_e_1,40079,event_ce006_1_01_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_1_01_e_1,True,ce006_03,7,surprise,ce006_npc_01,5,idle,ce006_01,3,no,rapi,13,idle,anis,15,void,neon,17,idle,artcity_d,14,14,1.0,bgm_chapter36_field_deals,,,,,,,,,,,
event_ce006_1_01_e_2,40079,event_ce006_1_01_e,Speech,anis,anis,Locale_MainScenario:event_ce006_1_01_e_2,True,,7,surprise,,5,idle,,3,no,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,
event_ce006_1_01_e_3,40079,event_ce006_1_01_e,Speech,neon,neon,Locale_MainScenario:event_ce006_1_01_e_3,True,,7,surprise,,5,idle,,3,no,,13,idle,,15,void,,17,delight,,14,16,1.3,,,,,,,,,,,,
event_ce006_1_01_e_4,40079,event_ce006_1_01_e,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_01_e_4,True,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,delight,,6,6,1.0,,,,,,,,,,,,
event_ce006_1_01_e_5,40079,event_ce006_1_01_e,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_01_e_5,False,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,delight,,6,6,1.0,,,,,,,,,,,,
event_ce006_1_01_e_6,40079,event_ce006_1_01_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_01_e_6,False,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,delight,,6,4,1.5,,,,,,,,,,,,
event_ce006_1_01_e_7,40079,event_ce006_1_01_e,Speech,roam,roam,Locale_MainScenario:event_ce006_1_01_e_7,True,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,delight,,12,12,1.0,,roam,13,idle,,,,,,,,
event_ce006_1_01_e_8,40079,event_ce006_1_01_e,Self,roam,,Locale_MainScenario:event_ce006_1_01_e_8,False,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,idle,,12,12,1.0,,,13,idle,,,,,,,,
event_ce006_1_01_e_9,40079,event_ce006_1_01_e,Speech,roam,roam,Locale_MainScenario:event_ce006_1_01_e_9,True,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,idle,,12,12,1.0,,,13,idle,,,,,,,,
event_ce006_1_01_e_10,40079,event_ce006_1_01_e,Speech,roam,roam,Locale_MainScenario:event_ce006_1_01_e_10,True,,7,surprise,,5,idle,,3,no,,1,idle,,15,void,,17,idle,,12,12,1.0,,,13,idle,,,,,,,,
event_ce006_1_01_e_11,40079,event_ce006_1_01_e,Speech,anis,anis,Locale_MainScenario:event_ce006_1_01_e_11,True,,7,no,,5,idle,,3,no,,1,idle,,15,idle,,17,idle,,12,14,1.3,,,13,idle,,,,,,,,
event_ce006_1_01_e_12,40079,event_ce006_1_01_e,Self,anis,,Locale_MainScenario:event_ce006_1_01_e_12,False,,7,no,,5,idle,,3,no,,1,idle,,15,idle,,17,idle,,14,14,1.0,,,13,idle,,,,,,,,
event_ce006_1_01_e_13,40079,event_ce006_1_01_e,Monologue,anis,,Locale_MainScenario:event_ce006_1_01_e_13,False,,7,no,,5,idle,,3,no,,1,idle,,15,idle,,17,idle,,black,black,1.0,,,13,idle,,,,,,,,
event_ce006_1_01_e_14,40079,event_ce006_1_01_e,Self,anis,,Locale_MainScenario:event_ce006_1_01_e_14,False,,7,no,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,6,6,1.0,,,13,idle,roam,,,,,,,
event_ce006_1_01_e_15,40079,event_ce006_1_01_e,Self,anis,,Locale_MainScenario:event_ce006_1_01_e_15,False,,7,no,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,,,
event_ce006_1_01_e_16,40079,event_ce006_1_01_e,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_01_e_16,True,,7,no,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,,,
event_ce006_1_01_e_17,40079,event_ce006_1_01_e,Speech,anis,anis,Locale_MainScenario:event_ce006_1_01_e_17,True,,7,no,,5,idle,,3,no,,1,idle,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,
event_ce006_1_01_e_18,40079,event_ce006_1_01_e,Speech,anis,anis,Locale_MainScenario:event_ce006_1_01_e_18,True,,7,no,,5,idle,,3,no,,1,idle,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,,,
event_ce006_1_01_e_19,40079,event_ce006_1_01_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_01_e_19,True,,7,no,,5,idle,,3,no,,1,idle,,13,void,,15,idle,,30,30,1.0,,,,,,,,,,,,
event_ce006_1_01_e_20,40079,event_ce006_1_01_e,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_01_e_20,True,,7,no,,5,idle,,3,no,,1,idle,,13,void,,15,idle,,30,30,1.0,,,,,,,,,,,,
