id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
re_event_ce02_1_01_e_1,40082,re_event_ce02_1_01_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_01_e_1,True,anis,1,void,rapi,3,idle,neon,5,idle,WasteLand_03,10,10,1.0,event_bgm_ce002_story_2,,,,,,,,,
re_event_ce02_1_01_e_2,40082,re_event_ce02_1_01_e,Speech,neon,neon,Locale_SubScenario:event_ce02_1_01_e_2,True,,1,void,,3,idle,,5,idle,,S_50,S_50,1.0,,,,,,,,,,
re_event_ce02_1_01_e_3,40082,re_event_ce02_1_01_e,Speech,neon,neon,Locale_SubScenario:event_ce02_1_01_e_3,True,,1,void,,3,idle,,5,idle,,S_50,S_50,1.0,,,,,,,,,,
re_event_ce02_1_01_e_4,40082,re_event_ce02_1_01_e,Self,,,Locale_SubScenario:event_ce02_1_01_e_4,False,,1,void,,3,idle,,5,idle,,S_50,S_50,1.0,,,,,,,,,,
re_event_ce02_1_01_e_5,40082,re_event_ce02_1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_01_e_5,True,,1,void,,3,idle,,5,idle,,30,30,1.0,,,,,,,,,,
re_event_ce02_1_01_e_6,40082,re_event_ce02_1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_01_e_6,True,,1,void,,3,idle,,5,idle,,30,30,1.0,,,,,,,,,,
re_event_ce02_1_01_e_7,40082,re_event_ce02_1_01_e,Self,,,Locale_SubScenario:event_ce02_1_01_e_7,False,,1,void,,3,idle,,5,idle,,30,30,1.0,,,,,,,,,,
re_event_ce02_1_01_e_8,40082,re_event_ce02_1_01_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_01_e_8,True,,1,worry,,3,idle,,5,idle,,10,10,1.0,,,,,,,,,,
re_event_ce02_1_01_e_9,40082,re_event_ce02_1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_01_e_9,False,,1,worry,,3,idle,,5,idle,,30,300,1.0,,,,,,,,,,
re_event_ce02_1_01_e_10,40082,re_event_ce02_1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_01_e_10,True,,1,worry,,3,idle,,5,idle,,300,300,1.0,,,,,,,,,,
re_event_ce02_1_01_e_11,40082,re_event_ce02_1_01_e,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_01_e_11,True,,1,worry,,3,idle,,5,idle,,300,300,1.0,,,,,,,,,,
re_event_ce02_1_01_e_12,40082,re_event_ce02_1_01_e,Speech,anis,anis,Locale_SubScenario:event_ce02_1_01_e_12,False,,1,void,,3,idle,,5,idle,,300,100,1.0,,,,,,,,,,
