id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_absolute1_01_s_1,40086,event_absolute1_01_s,Narration,soldiereg,Locale_MainScenario:event_absolute1_01_s_1,False,IceLand_03,black,black,1.0,sfx_scn_gunfire,bgm_story_crisis,,,soldiereg,1,idle,,soldierfa,13,idle,,,,,,,,,,scarecommander,3,idle,,,,
event_absolute1_01_s_2,40086,event_absolute1_01_s,Narration,soldiereg,Locale_MainScenario:event_absolute1_01_s_2,False,,black,black,1.0,sfx_scn_rapturefin,,,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_3,40086,event_absolute1_01_s,Speech,soldiereg,Locale_MainScenario:event_absolute1_01_s_3,True,,10,10,1.0,,,soldiereg,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_4,40086,event_absolute1_01_s,Speech,soldiereg,Locale_MainScenario:event_absolute1_01_s_4,True,,10,10,1.0,,,soldiereg,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_5,40086,event_absolute1_01_s,Speech,soldierfa,Locale_MainScenario:event_absolute1_01_s_5,True,,10,12,1.3,,,soldierfa,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_6,40086,event_absolute1_01_s,Speech,soldiereg,Locale_MainScenario:event_absolute1_01_s_6,True,,12,12,1.0,,,soldiereg,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_7,40086,event_absolute1_01_s,Speech,soldierfa,Locale_MainScenario:event_absolute1_01_s_7,True,,12,12,1.0,,,soldierfa,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_8,40086,event_absolute1_01_s,Speech,soldiereg,Locale_MainScenario:event_absolute1_01_s_8,True,,12,12,1.0,,,soldiereg,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_9,40086,event_absolute1_01_s,Speech,soldiereg,Locale_MainScenario:event_absolute1_01_s_9,True,,12,2,1.3,,,soldiereg,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
event_absolute1_01_s_10,40086,event_absolute1_01_s,Speech,scarecommander,Locale_MainScenario:event_absolute1_01_s_10,True,,2,2,1.0,,,scarecommander,,,1,idle,,,13,idle,,,,,,,,,,,3,idle,,,,
