id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,fade,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_redash_prologue_1,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_1,False,CountryVillage_d,1,1,1.0,event_bgm_redash_prologue_loop,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_2,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_2,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_3,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_3,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_4,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_4,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_5,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_5,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_6,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_6,False,,1,100,2.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_7,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_7,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_8,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_8,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_9,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_9,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_10,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_10,False,,100,1,2.0,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_11,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_11,False,,black,black,1.0,,Grey,redhood,13,smile_02,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_12,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_12,False,BattleShipBridge,black,black,1.0,,Grey,,13,smile_02,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_13,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_13,False,,L_130,L_130,1.0,,,,13,smile_02,redhood,redhood,snowwhite_o,1,shy,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_14,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_14,True,,L_130,113,2.0,,,,13,smile_02,snowwhite_o,snowwhite_o,,1,shy,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_15,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_15,True,,113,113,1.0,,,,13,smile_02,redhood,redhood,,1,shy,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_16,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_16,True,,113,113,1.0,,,,13,smile_02,redhood,redhood,,1,shy,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_17,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_17,False,,113,113,1.0,,,,13,smile_02,snowwhite_o,snowwhite_o,,1,no,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_18,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_18,False,,113,113,1.0,,,,13,smile_02,redhood,redhood,,1,no,,,,,,,,,,,,,,,,,,,,,,
event_redash_prologue_19,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_19,False,,black,black,1.0,event_bgm_redash_prologue_loop_full,,,13,smile_02,,,,1,no,redhood,snowwhite_o,redash_05_1,1,idle,,,,,,,,,,,,,,,,,
event_redash_prologue_20,40031,event_redash_prologue,Narration,Locale_MainScenario:event_redash_prologue_20,False,,black,black,1.0,,,,,,,,,,,,,,1,idle,,,,,,,,,,,,,,,,,
event_redash_prologue_21,40031,event_redash_prologue,Speech,Locale_MainScenario:event_redash_prologue_21,True,,redash_05_1_01,redash_05_1_01,1.0,,,,,,snowwhite_o,snowwhite_o,,,,,,,1,idle,,,,,,,,,,,,,,,,,
