id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_goldenship_06_e_1,40023,event_goldenship_06_e,Monologue,Locale_SubScenario:event_goldenship_06_e_1,False,ocean,black,black,1.0,event_bgm_goldenship,,,,mast,1,idle2,,,,,,,,,,,
event_goldenship_06_e_2,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_2,True,,S_10,S_10,1.0,,mast,mast,,,1,idle2,,,,,,,,,,,
event_goldenship_06_e_3,40023,event_goldenship_06_e,Self,Locale_SubScenario:event_goldenship_06_e_3,False,,S_10,S_10,1.0,,,,,,1,idle2,,,,,,,,,,,
event_goldenship_06_e_4,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_4,True,,S_10,S_10,1.0,,mast,mast,,,1,idle2,,,,,,,,,,,
event_goldenship_06_e_5,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_5,True,,S_10,S_10,1.0,,mast,mast,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_6,40023,event_goldenship_06_e,Monologue,Locale_SubScenario:event_goldenship_06_e_6,False,,S_10,S_10,1.0,,,,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_7,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_7,True,,S_10,S_100,0.5,,mast,mast,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_8,40023,event_goldenship_06_e,Narration,Locale_SubScenario:event_goldenship_06_e_8,False,,S_100,S_100,1.0,,,,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_9,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_9,True,,S_100,S_100,1.0,,anchor,anchor,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_10,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_10,True,,S_100,S_100,1.0,,frima_s,frima,,,1,surprise,,,,,,,,,,,
event_goldenship_06_e_11,40023,event_goldenship_06_e,Speech,Locale_SubScenario:event_goldenship_06_e_11,True,,S_100,S_10,1.0,,mast,mast,,,1,sad2,,,,,,,,,,,
event_goldenship_06_e_12,40023,event_goldenship_06_e,Monologue,Locale_SubScenario:event_goldenship_06_e_12,False,,S_10,S_10,1.0,,,,,,1,sad2,,,,,,,,,,,
event_goldenship_06_e_13,40023,event_goldenship_06_e,Narration,Locale_SubScenario:event_goldenship_06_e_13,False,,S_10,S_10,1.0,,,,,,1,sad2,,,,,,,,,,,
event_goldenship_06_e_14,40023,event_goldenship_06_e,Monologue,Locale_SubScenario:event_goldenship_06_e_14,False,,S_10,S_10,1.0,,,,,,1,sad2,,,,,,,,,,,
event_goldenship_06_e_15,40023,event_goldenship_06_e,Monologue,Locale_SubScenario:event_goldenship_06_e_15,False,,S_10,S_10,1.0,,,,,,1,sad2,,,,,,,,,,,
