id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
re_event_ce02_3_01_s_1,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_1,True,Factory,black,black,1.0,ambient_scn_wind,,,product12,13,idle,ce_02_02,1,think
re_event_ce02_3_01_s_2,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_2,True,,black,black,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_3,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_3,True,,1,10,1.0,event_bgm_ce002_story_3,,,,13,idle,,1,think
re_event_ce02_3_01_s_4,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_4,True,,10,12,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_5,40082,re_event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_5,False,,12,10,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_6,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_6,True,,10,10,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_7,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_7,True,,130,130,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_8,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_8,True,,130,130,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_9,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_9,True,,10,10,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_10,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_10,True,,10,10,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_11,40082,re_event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_11,False,,10,1,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_12,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_12,True,,1,1,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_13,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_13,True,,1,1,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_14,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_14,True,,1,1,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_15,40082,re_event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_15,True,,130,130,1.0,,,,,13,idle,,1,think
re_event_ce02_3_01_s_16,40082,re_event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_16,False,,1,5,1.0,,,,,13,idle,,1,idle
re_event_ce02_3_01_s_17,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_17,True,,5,5,1.0,,,,,13,idle,,1,idle
re_event_ce02_3_01_s_18,40082,re_event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_18,True,,5,1,1.0,,,,,13,idle,,1,idle
