id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_boomtheghost2_04_s_1,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_1,True,product23,1,idle,Deck_n,S_100,S_100,1.0,bgm_story_weare,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_2,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_2,True,,1,idle,,S_100,S_100,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_3,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_3,True,,1,idle,,S_100,S_100,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_4,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_4,True,,1,idle,,S_100,S_100,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_5,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_5,True,,1,idle,,S_100,S_100,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_6,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_6,True,,1,idle,,S_100,S_10,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_7,40085,event_boomtheghost2_04_s,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_04_s_7,False,,1,idle,,S_10,S_10,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_8,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_8,False,,1,idle,,S_10,S_10,1.0,,Grey,Blur_High,,,,,,,,,,,,,,,,,
event_boomtheghost2_04_s_9,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_9,True,,1,idle,Pilothouse_n,black,black,1.0,,Grey,Blur_High,alfred,1,idle,elegg_s,3,surprise,rapi_ss,5,delight,product23,,,,,,,
event_boomtheghost2_04_s_10,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_10,True,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_11,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_11,True,,,,,S_100,S_10,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_12,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_12,True,,,,,S_10,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_13,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_13,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_14,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_14,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_15,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_15,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_16,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_16,False,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_17,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_17,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_18,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_18,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_19,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_19,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_20,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_20,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_21,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_21,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_22,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_22,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_23,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_23,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_24,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_24,True,,,,,31,31,1.0,,,,,1,idle,,3,surprise,,5,delight,,,,,,,,
event_boomtheghost2_04_s_25,40085,event_boomtheghost2_04_s,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_04_s_25,True,,,,,31,5,1.5,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_26,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_26,True,,,,,S_10,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_27,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_27,True,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_28,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_28,True,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_29,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_29,True,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_30,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_30,False,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_31,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_31,True,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_32,40085,event_boomtheghost2_04_s,Speech,alfred,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_32,False,,,,,S_100,S_100,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_33,40085,event_boomtheghost2_04_s,Monologue,alfred,,Locale_MainScenario:event_boomtheghost2_04_s_33,False,,,,,black,black,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_34,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_34,True,,,,,S_100,S_10,0.7,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_35,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_35,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_36,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_36,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_37,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_37,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_38,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_38,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_39,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_39,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_40,40085,event_boomtheghost2_04_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_04_s_40,True,,,,,S_10,S_10,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_41,40085,event_boomtheghost2_04_s,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_04_s_41,True,,,,,50,50,1.0,none,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_42,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_42,False,,,,,50,S_30,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_43,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_43,True,,,,,S_30,S_30,1.0,,,,,1,idle,,3,surprise,,5,think,,,,,,,,
event_boomtheghost2_04_s_44,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_44,True,,,,,S_30,S_30,1.0,,,,,1,idle,,3,idle,,5,think,,,,,,,,
event_boomtheghost2_04_s_45,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_45,True,,,,,S_30,S_30,1.0,,,,,1,idle,,3,idle,,5,think,,,,,,,,
event_boomtheghost2_04_s_46,40085,event_boomtheghost2_04_s,Monologue,elegg_s,,Locale_MainScenario:event_boomtheghost2_04_s_46,False,,,,Deck_n,black,black,1.0,,,,,1,idle,,3,think,,5,think,,alfred,black,,,,,
event_boomtheghost2_04_s_47,40085,event_boomtheghost2_04_s,Self,elegg_s,,Locale_MainScenario:event_boomtheghost2_04_s_47,False,,,,,5,53,1.0,,,,,,,,3,think,,5,think,,,,,,,,
event_boomtheghost2_04_s_48,40085,event_boomtheghost2_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_04_s_48,True,,,,,53,53,1.0,,,,,,,,3,think,,5,think,,,,,,,,
