id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,characters/0/hide_char_id
event_icedragonsaga2_04_e_1,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_1,True,guillotine,2,no,chloe,4,idle,Backstreet,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,bgm_story_monochrome,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_2,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_2,True,,2,no,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_3,40065,event_icedragonsaga2_04_e,Speech,chloe,chloe,Locale_MainScenario:event_icedragonsaga2_04_e_3,False,,2,no,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_4,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_4,True,,2,no,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_5,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_5,True,,2,think,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_6,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_6,True,,2,think,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_7,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_7,True,,2,think,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_8,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_8,True,,2,idle,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_9,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_9,True,,2,idle,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_10,40065,event_icedragonsaga2_04_e,Speech,chloe,chloe,Locale_MainScenario:event_icedragonsaga2_04_e_10,True,,2,idle,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,none,Vignetting,,,,,,,,
event_icedragonsaga2_04_e_11,40065,event_icedragonsaga2_04_e,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_04_e_11,True,,2,no,,4,idle,,event_icedragonsaga2_02_s_guilo,event_icedragonsaga2_02_s_guilo,1.0,,Vignetting,,,,,,,,
