id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_hightechtoy_04_s_1,40002,event_hightechtoy_04_s,Monologue,Locale_SubScenario:event_hightechtoy_04_s_1,False,CityForest_03,black,black,1.0,bgm_inark,,,maxwell_w,1,sad,laplace,13,idle,drake,3,idle,massproduction01,15,idle
event_hightechtoy_04_s_2,40002,event_hightechtoy_04_s,Monologue,Locale_SubScenario:event_hightechtoy_04_s_2,False,,black,black,1.0,,,,,1,sad,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_3,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_3,True,,10,10,1.0,,maxwell_w,maxwell_w,,1,sad,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_4,40002,event_hightechtoy_04_s,Monologue,Locale_SubScenario:event_hightechtoy_04_s_4,False,,10,S_130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_5,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_5,True,,S_130,S_130,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_6,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_6,True,,10,10,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_7,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_7,True,,10,100,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_8,40002,event_hightechtoy_04_s,Self,Locale_SubScenario:event_hightechtoy_04_s_8,False,,100,100,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_9,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_9,True,,100,10,0.5,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_10,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_10,True,,10,10,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_11,40002,event_hightechtoy_04_s,Self,Locale_SubScenario:event_hightechtoy_04_s_11,False,,10,10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_12,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_12,False,,150,150,1.0,,massproduction01,massproduction01,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_13,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_13,True,,150,S_130,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_14,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_14,True,,S_130,S_130,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_15,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_15,True,,S_130,S_130,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_16,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_16,True,,30,30,1.0,,drake,drake,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_17,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_17,True,,30,30,1.0,,drake,drake,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_18,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_18,False,,S_130,S_1300,0.5,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_19,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_19,True,,S_1300,S_1300,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_20,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_20,True,,S_1300,S_1300,1.0,,laplace,laplace,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_21,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_21,True,,S_1300,100,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_22,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_22,True,,100,100,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,idle,,15,idle
event_hightechtoy_04_s_23,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_23,True,,300,300,1.0,,drake,drake,,1,idle,,13,idle,,3,no,,15,idle
event_hightechtoy_04_s_24,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_24,True,,100,100,1.0,,maxwell_w,maxwell_w,,1,angry,,13,idle,,3,no,,15,idle
event_hightechtoy_04_s_25,40002,event_hightechtoy_04_s,Speech,Locale_SubScenario:event_hightechtoy_04_s_25,True,,100,100,1.0,,maxwell_w,maxwell_w,,1,idle,,13,idle,,3,no,,15,idle
