id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_bluewaterisland1_05_s_1,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_1,True,Beach_d,black,black,1.0,none,,,,,,,,,neon_s,12,no,,,,,
event_bluewaterisland1_05_s_2,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_2,True,,black,black,1.0,,,,,,,,,,,12,no,,,,,
event_bluewaterisland1_05_s_3,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_3,True,,black,black,1.0,,,,,,,,,,,12,no,,,,,
event_bluewaterisland1_05_s_4,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_4,True,,XS_1200,12,1.0,bgm_story_profusion,,,,,,,,,,12,idle,,,,,
event_bluewaterisland1_05_s_5,40020,event_bluewaterisland1_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland1_05_s_5,False,,12,12,1.0,,,,,,,,,,,12,idle,,,,,
event_bluewaterisland1_05_s_6,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_6,False,,12,12,1.0,,,,,,,,,,,12,idle,,,,,
event_bluewaterisland1_05_s_7,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_7,True,,12,XS_120,2.0,,,,,,,,,,,12,shy,,,,,
event_bluewaterisland1_05_s_8,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_8,True,,XS_120,XS_120,1.0,,,,,,,,,,,12,shy,,,,,
event_bluewaterisland1_05_s_9,40020,event_bluewaterisland1_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_05_s_9,False,,XS_120,XS_120,1.0,,,,,,,,,,,12,shy,,,,,
event_bluewaterisland1_05_s_10,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_10,True,,XS_120,XS_120,1.0,,,,,,,,,,,12,delight,,,,,
event_bluewaterisland1_05_s_11,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_11,True,,XS_120,XS_120,1.0,,,,,,,,,,,12,delight,,,,,
event_bluewaterisland1_05_s_12,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_12,False,,XS_120,19,1.0,,sfx_scn_ballfaly,,,,mary_s,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_13,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_13,False,,19,19,1.0,,sfx_scn_ballhit,Low_2,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_14,40020,event_bluewaterisland1_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_05_s_14,False,,19,19,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_15,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_15,True,,19,19,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_16,40020,event_bluewaterisland1_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_05_s_16,False,,19,19,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_17,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_17,False,,19,19,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_18,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_18,False,,19,19,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_19,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_19,False,,19,1,1.0,,sfx_scn_ballfaly,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_20,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_20,False,,1,1,1.0,,sfx_scn_ballonsand,Low_2,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_21,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_21,True,,1,1,1.0,,,,,,,2,idle,,,12,shy,,,,,
event_bluewaterisland1_05_s_22,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_22,True,,1,1,1.0,,,,,,,2,idle,,,12,shy,,,,,
event_bluewaterisland1_05_s_23,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_23,True,,1,1,1.0,,,,,,,2,idle,,,12,shy,,,,,
event_bluewaterisland1_05_s_24,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_24,False,,1,1,1.0,,,,,,,2,idle,,,12,shy,,,,,
event_bluewaterisland1_05_s_25,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_25,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_26,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_26,False,,black,black,1.0,,sfx_scn_ballpass,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_27,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_27,True,,1,1,1.0,,,,,,,2,idle,,,12,surprise,,,,,
event_bluewaterisland1_05_s_28,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_28,True,,1,1,1.0,,,,,,,2,idle,,,12,surprise,,,,,
event_bluewaterisland1_05_s_29,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_29,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_30,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_30,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_31,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_31,True,,1,13,1.0,,,,,,,2,idle,,,12,idle,,,,,
event_bluewaterisland1_05_s_32,40020,event_bluewaterisland1_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_s_32,True,,13,13,1.0,,,,,,,2,idle,,,12,idle,,pepper_s,14,delight,
event_bluewaterisland1_05_s_33,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_33,True,,13,1,1.0,,,,,,,2,idle,,,12,idle,,,14,delight,
event_bluewaterisland1_05_s_34,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_34,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,14,delight,
event_bluewaterisland1_05_s_35,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_35,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,14,delight,
event_bluewaterisland1_05_s_36,40020,event_bluewaterisland1_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_s_36,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,14,surprise,
event_bluewaterisland1_05_s_37,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_37,True,,1,1,1.0,,,,,,,2,idle,,,12,idle,,,14,surprise,
event_bluewaterisland1_05_s_38,40020,event_bluewaterisland1_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_s_38,True,,1,13,1.0,,,,,,,2,idle,mary_s,,12,idle,,,14,surprise,
event_bluewaterisland1_05_s_39,40020,event_bluewaterisland1_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland1_05_s_39,False,,black,black,1.0,,,,,,,,,,,12,idle,,,14,surprise,
event_bluewaterisland1_05_s_40,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_40,True,,12,12,1.0,,,,black,,,,,,,12,no,,,14,surprise,pepper_s
event_bluewaterisland1_05_s_41,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_41,True,,12,12,1.0,,,,,,,,,,,12,no,,,,,
event_bluewaterisland1_05_s_42,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_42,True,,12,12,1.0,,,,,,,,,,,12,no,,,,,
event_bluewaterisland1_05_s_43,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_43,False,,black,black,1.0,,,,,,,,,,,12,angry,,,,,
event_bluewaterisland1_05_s_44,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_44,True,,12,XS_120,0.7,,,,,,,,,,,12,angry,,,,,
event_bluewaterisland1_05_s_45,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_45,True,,XS_120,XS_1200,0.7,,,,,,,,,,,12,angry,,,,,
event_bluewaterisland1_05_s_46,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_46,True,,XS_1200,12,1.0,,,,,,,,,,,12,angry,,,,,
event_bluewaterisland1_05_s_47,40020,event_bluewaterisland1_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_05_s_47,False,,12,12,1.0,,,,,,,,,,,12,angry,,,,,
event_bluewaterisland1_05_s_48,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_48,True,,12,12,1.0,,,,,,,,,,,12,delight,,,,,
event_bluewaterisland1_05_s_49,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_49,True,,12,12,1.0,,,,,,,,,,,12,delight,,,,,
event_bluewaterisland1_05_s_50,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_50,True,,12,12,1.0,,,,,,,,,,,12,delight,,,,,
event_bluewaterisland1_05_s_51,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_51,True,,12,12,1.0,,,,,,,,,,,12,no,,,,,
event_bluewaterisland1_05_s_52,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_52,True,,12,XS_120,1.0,,,,,,,,,,,12,idle,,,,,
event_bluewaterisland1_05_s_53,40020,event_bluewaterisland1_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland1_05_s_53,False,,black,black,1.0,,,,,,,,,,,12,idle,,,,,
event_bluewaterisland1_05_s_54,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_54,True,,XS_120,20,0.7,,,,,,mary_s,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_55,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_55,False,,20,2,0.3,,sfx_scn_spraywater,Low_2,,,,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_56,40020,event_bluewaterisland1_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_s_56,False,,2,2,1.0,,,,,,,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_57,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_57,False,,2,2,1.0,,sfx_scn_waterdrop,,,,,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_58,40020,event_bluewaterisland1_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_05_s_58,False,,2,1,1.0,,,,,,,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_59,40020,event_bluewaterisland1_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_s_59,False,,1,1,1.0,,sfx_scn_waterdrop,,,,,2,idle,,,12,no,,,,,
event_bluewaterisland1_05_s_60,40020,event_bluewaterisland1_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_05_s_60,False,,1,1,1.0,,,,,,,2,idle,,,12,no,,,,,
