id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_overzone2_02_e_1,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_1,False,OuterTomb,7,7,1.0,ambient_scn_wind,,,,,dorothy,1,think,rapunzel,13,sad
event_overzone2_02_e_2,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_2,False,,7,7,1.0,,,,,,,1,think,,13,sad
event_overzone2_02_e_3,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_3,True,,7,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_4,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_4,False,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_5,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_5,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_6,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_6,True,,12,12,1.0,,dorothy,dorothy,,,,1,idle,,13,sad
event_overzone2_02_e_7,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_7,False,,12,130,1.0,,,,,,,1,idle,,13,sad
event_overzone2_02_e_8,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_8,False,,130,190,1.0,bgm_story_gshangri-la,,,,,,1,idle,,13,sad
event_overzone2_02_e_9,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_9,False,,190,190,1.0,,,,sfx_scn_identificationtag,,,1,idle,,13,sad
event_overzone2_02_e_10,80304,event_overzone2_02_e,Narration,Locale_MainScenario:event_overzone2_02_e_10,False,,190,190,1.0,,,,,,,1,idle,,13,sad
event_overzone2_02_e_11,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_11,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_12,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_12,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_13,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_13,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_14,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_14,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_15,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_15,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_16,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_16,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_17,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_17,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_18,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_18,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_19,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_19,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_20,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_20,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_21,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_21,True,,12,12,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_22,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_22,True,,12,12,1.0,,rapunzel,rapunzel,,,,1,think,,13,sad
event_overzone2_02_e_23,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_23,False,,12,10,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_24,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_24,True,,10,10,1.0,,dorothy,dorothy,,,,1,think,,13,sad
event_overzone2_02_e_25,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_25,True,,130,130,1.0,,rapunzel,rapunzel,,,,1,think,,13,idle
event_overzone2_02_e_26,80304,event_overzone2_02_e,Speech,Locale_MainScenario:event_overzone2_02_e_26,True,,130,130,1.0,,rapunzel,rapunzel,,,,1,think,,13,idle
