id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,fade
event_lastkingdom2_04_s_1,40046,event_lastkingdom2_04_s,Narration,Locale_MainScenario:event_lastkingdom2_04_s_1,False,kilo,1,idle,chime,13,idle,talos,5,idle,CrownCastleDiningRoom_d,5,113,2.0,event_bgm_lastkingdom_morningstar,,,,,,,
event_lastkingdom2_04_s_2,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_2,True,,1,idle,,13,idle,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_3,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_3,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_4,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_4,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_5,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_5,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_6,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_6,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_7,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_7,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_8,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_8,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_9,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_9,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_10,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_10,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_11,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_11,True,,1,idle,,13,void,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_12,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_12,True,,1,idle,,13,void,,5,idle,,50,50,1.0,,talos,talos,,,,,
event_lastkingdom2_04_s_13,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_13,True,,1,idle,,13,void,,5,idle,,XXS_130,XXS_130,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_14,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_14,True,,1,idle,,13,void,,5,idle,,50,50,1.0,,talos,talos,,,,,
event_lastkingdom2_04_s_15,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_15,True,,1,idle,,13,void,,5,idle,,S_10,S_10,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_16,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_16,True,,1,idle,,13,angry,,5,idle,,S_10,113,1.0,,chime,chime,,,,,
event_lastkingdom2_04_s_17,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_17,False,,1,idle,,13,angry,,5,idle,,113,113,1.0,,kilo,kilo,,,,,
event_lastkingdom2_04_s_18,40046,event_lastkingdom2_04_s,Speech,Locale_MainScenario:event_lastkingdom2_04_s_18,True,,1,idle,,13,idle,,5,idle,,113,XXS_130,1.0,,chime,chime,,,,,
