id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,highlight,play_sound
event_bluewaterisland1_06_s_1,40020,event_bluewaterisland1_06_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_06_s_1,False,LogHouseIn_n,black,black,1.0,bgm_story_girlstalk,,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_06_s_2,40020,event_bluewaterisland1_06_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_06_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_06_s_3,40020,event_bluewaterisland1_06_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_06_s_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_06_s_4,40020,event_bluewaterisland1_06_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_06_s_4,False,,5,5,1.0,,mary_s,9,idle,pepper_s,7,idle,liter_s,5,idle,rapi_s,3,idle,volt,1,idle,frima_s,13,idle,yan_s,15,idle,neon_s,17,idle,,
event_bluewaterisland1_06_s_5,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_5,True,,5,5,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_6,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_6,True,,5,5,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_7,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_7,True,,5,5,1.0,,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_8,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_8,True,,5,XS_50,2.0,,,9,idle,,7,idle,,5,sorrow,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_9,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_9,True,,XS_50,XS_50,1.0,,,9,idle,,7,idle,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
event_bluewaterisland1_06_s_10,40020,event_bluewaterisland1_06_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_06_s_10,True,,XS_50,XS_50,1.0,,,9,idle,,7,idle,,5,delight,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,liter_s,
