id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,speaker
event_exnii1_02_s_1,40070,event_exnii1_02_s,Narration,Locale_SubScenario:event_exnii1_02_s_1,False,RedBeach_1,1,1,1.0,event_bgm_ce005_laststand,,,,,,,,,,,,,,,,,,,,,
event_exnii1_02_s_2,40070,event_exnii1_02_s,Self,Locale_SubScenario:event_exnii1_02_s_2,False,,1,13,1.0,,ce005_02,rapi,1,idle,anis,3,idle,neon,5,idle,ce005_01,15,idle,ce005_02,13,idle,ce005_03,17,idle,black,
event_exnii1_02_s_3,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_3,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_4,40070,event_exnii1_02_s,Self,Locale_SubScenario:event_exnii1_02_s_4,False,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,
event_exnii1_02_s_5,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_5,False,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,think,,17,idle,,ce004_01
event_exnii1_02_s_6,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_6,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,think,,17,idle,,ce004_01
event_exnii1_02_s_7,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_7,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,think,,17,idle,,ce004_01
event_exnii1_02_s_8,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_8,True,,13,15,1.0,,ce005_01,,1,idle,,3,idle,,5,idle,,15,no,,13,idle,,17,idle,,ce005_01
event_exnii1_02_s_9,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_9,True,,15,17,1.0,,ce005_03,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,no,,ce005_03
event_exnii1_02_s_10,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_10,True,,17,17,1.0,,ce005_03,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,no,,ce005_03
event_exnii1_02_s_11,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_11,True,,17,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_12,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_12,True,,13,13,1.0,,ce005_02,,1,idle,,3,void,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_13,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_13,True,,3,3,1.0,,anis,,1,idle,,3,void,,5,idle,,15,idle,,13,idle,,17,idle,,anis
event_exnii1_02_s_14,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_14,True,,13,13,1.0,,ce005_02,,1,idle,,3,void,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_15,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_15,True,,3,3,1.0,,anis,,1,idle,,3,void,,5,idle,,15,idle,,13,idle,,17,idle,,anis
event_exnii1_02_s_16,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_16,True,,13,13,1.0,,ce005_02,,1,idle,,3,void,,5,idle,,15,idle,,13,think,,17,idle,,ce004_01
event_exnii1_02_s_17,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_17,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_18,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_18,True,,13,13,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_19,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_19,True,,13,event_exnii_talk_02,1.0,,rapi,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,rapi
event_exnii1_02_s_20,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_20,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
event_exnii1_02_s_21,40070,event_exnii1_02_s,Speech,Locale_SubScenario:event_exnii1_02_s_21,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,ce005_02,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,ce004_01
