id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_trueflavor_01_e_1,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_1,True,SchoolCorridor,1,1,1.0,bgm_story_cottoncandy,,,marciana,2,delight,,crust,12,idle
event_trueflavor_01_e_2,40074,event_trueflavor_01_e,Self,marciana,,Locale_SubScenario:event_trueflavor_01_e_2,False,,1,1,1.0,,,,,2,delight,,,12,idle
event_trueflavor_01_e_3,40074,event_trueflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_01_e_3,True,,1,1,1.0,,,,,2,delight,,,12,idle
event_trueflavor_01_e_4,40074,event_trueflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_01_e_4,True,,1,1,1.0,,,,,2,delight,,,12,idle
event_trueflavor_01_e_5,40074,event_trueflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_01_e_5,True,,1,1,1.0,,,,,2,delight,,,12,delight
event_trueflavor_01_e_6,40074,event_trueflavor_01_e,Self,crust,,Locale_SubScenario:event_trueflavor_01_e_6,False,,1,1,1.0,,,,,2,delight,,,12,delight
event_trueflavor_01_e_7,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_7,True,,1,1,1.0,,,,,2,idle,,,12,delight
event_trueflavor_01_e_8,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_8,True,,1,1,1.0,,,,,2,idle,,,12,delight
event_trueflavor_01_e_9,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_9,True,,1,1,1.0,,,,,2,idle,,,12,delight
event_trueflavor_01_e_10,40074,event_trueflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_01_e_10,True,,1,1,1.0,,,,,2,idle,,,12,idle
event_trueflavor_01_e_11,40074,event_trueflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_01_e_11,True,,1,1,1.0,,,,,2,idle,,,12,idle
event_trueflavor_01_e_12,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_12,True,,1,1,1.0,,,,,2,idle,,,12,idle
event_trueflavor_01_e_13,40074,event_trueflavor_01_e,Speech,marciana,marciana,Locale_SubScenario:event_trueflavor_01_e_13,True,,1,1,1.0,,,,,2,idle,,,12,idle
