id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_jinxplayer_04_e_1,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_1,True,Cafe,XS_50,XS_50,1.0,none,,,belorta,5,delight,,rouge,3,idle
event_jinxplayer_04_e_2,40058,event_jinxplayer_04_e,Monologue,belorta,Monologue,Locale_SubScenario:event_jinxplayer_04_e_2,False,,XS_50,XS_50,1.0,bgm_story_leisuretime,,,,5,delight,,,3,idle
event_jinxplayer_04_e_3,40058,event_jinxplayer_04_e,Self,belorta,Self,Locale_SubScenario:event_jinxplayer_04_e_3,False,,XS_50,XS_50,1.0,,,,,5,delight,,,3,idle
event_jinxplayer_04_e_4,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_4,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_5,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_5,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_6,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_6,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_7,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_7,True,,XS_50,XS_50,1.0,,,,,5,delight,,,3,idle
event_jinxplayer_04_e_8,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_8,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_9,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_9,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_10,40058,event_jinxplayer_04_e,Speech,belorta,belorta,Locale_SubScenario:event_jinxplayer_04_e_10,True,,XS_50,XS_50,1.0,,,,,5,idle,,,3,idle
event_jinxplayer_04_e_11,40058,event_jinxplayer_04_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_04_e_11,True,,XS_50,4,1.0,,,,,5,idle,,,3,surprise
