id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
event_bowwowparadise_04_s_1,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_1,True,biscuit,1,idle,liter,13,no,Corridor,12,12,1.0,bgm_story_orangepop,,,,
event_bowwowparadise_04_s_2,40010,event_bowwowparadise_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_04_s_2,True,,1,idle,,13,no,,12,12,1.0,,,,,
event_bowwowparadise_04_s_3,40010,event_bowwowparadise_04_s,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_04_s_3,False,,1,idle,,13,idle,,12,12,1.0,,,,,
event_bowwowparadise_04_s_4,40010,event_bowwowparadise_04_s,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_04_s_4,False,,1,idle,,13,idle,,12,12,1.0,,,,,
event_bowwowparadise_04_s_5,40010,event_bowwowparadise_04_s,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_04_s_5,False,,1,idle,,13,idle,,12,12,1.0,,,,,
event_bowwowparadise_04_s_6,40010,event_bowwowparadise_04_s,Monologue,,Monologue,Locale_SubScenario:event_bowwowparadise_04_s_6,False,,1,idle,,13,idle,,12,12,1.0,,,,,
event_bowwowparadise_04_s_7,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_7,True,,1,idle,,13,idle,,12,14,1.0,,centi_c,15,delight,
event_bowwowparadise_04_s_8,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_8,True,,1,idle,,13,idle,,14,14,1.0,,,15,delight,
event_bowwowparadise_04_s_9,40010,event_bowwowparadise_04_s,Speech,liter,liter,Locale_SubScenario:event_bowwowparadise_04_s_9,True,,1,idle,,13,idle,,14,14,1.0,,,15,delight,
event_bowwowparadise_04_s_10,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_10,True,,1,idle,,13,idle,,14,14,1.0,,,15,delight,
event_bowwowparadise_04_s_11,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_11,True,,1,idle,,13,idle,,14,L_150,2.0,,,15,idle,
event_bowwowparadise_04_s_12,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_12,True,,1,idle,,13,idle,,L_150,L_150,1.0,,,15,idle,
event_bowwowparadise_04_s_13,40010,event_bowwowparadise_04_s,Choice,,,Locale_SubScenario:event_bowwowparadise_04_s_13,False,,1,idle,,13,idle,,L_150,L_150,1.0,,,15,idle,event_bowwowparadise_04_s_15
event_bowwowparadise_04_s_14,40010,event_bowwowparadise_04_s,Choice,,,Locale_SubScenario:event_bowwowparadise_04_s_14,False,,1,idle,,13,idle,,L_150,L_150,1.0,,,15,idle,event_bowwowparadise_04_s_15
event_bowwowparadise_04_s_15,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_15,True,,1,idle,,13,idle,,L_150,L_150,1.0,,,15,delight,
event_bowwowparadise_04_s_16,40010,event_bowwowparadise_04_s,Speech,centi_c,centi,Locale_SubScenario:event_bowwowparadise_04_s_16,True,,1,idle,,13,idle,,L_150,L_150,1.0,,,15,idle,
event_bowwowparadise_04_s_17,40010,event_bowwowparadise_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_bowwowparadise_04_s_17,True,,1,delight,,13,idle,,XS_10,XS_10,1.0,,,15,idle,
