id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_schooloflock_epilogue_1,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_1,True,Laboratory,black,black,1.0,bgm_story_fairytalesend_if,,ether,1,idle,marciana,3,think
event_schooloflock_epilogue_2,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_2,True,,black,black,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_3,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_3,True,,1,XS_10,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_4,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_4,True,,XS_10,XS_10,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_5,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_5,True,,XS_10,2,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_6,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_6,True,,2,2,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_7,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_7,True,,2,2,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_8,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_8,True,,2,2,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_9,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_9,False,,2,2,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_10,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_10,True,,2,2,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_11,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_11,True,,2,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_12,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_12,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_13,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_13,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_14,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_14,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_15,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_15,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_16,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_16,True,,XS_10,30,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_17,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_17,True,,30,30,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_18,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_18,True,,30,30,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_19,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_19,True,,30,30,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_20,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_20,True,,30,30,1.0,,,,1,idle,,3,think
event_schooloflock_epilogue_21,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_21,True,,30,2,1.0,,,,1,delight,,3,think
event_schooloflock_epilogue_22,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_22,True,,2,2,1.0,,,,1,delight,,3,think
event_schooloflock_epilogue_23,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_23,True,,2,2,1.0,,,,1,delight,,3,think
event_schooloflock_epilogue_24,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_24,True,,2,30,0.6,,,,1,delight,,3,rage
event_schooloflock_epilogue_25,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_25,True,,XS_10,XS_10,1.0,,,,1,sad,,3,rage
event_schooloflock_epilogue_26,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_26,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_27,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_27,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_28,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_28,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_29,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_29,True,,XS_10,2,1.0,,,,1,idle,,3,idle
event_schooloflock_epilogue_30,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_30,True,,2,2,1.0,,,,1,sad,,3,idle
event_schooloflock_epilogue_31,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_31,True,,2,2,1.0,,,,1,sad,,3,idle
event_schooloflock_epilogue_32,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_32,True,,2,2,1.0,,,,1,sad,,3,idle
event_schooloflock_epilogue_33,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_33,True,,2,2,1.0,,,,1,sad,,3,idle
event_schooloflock_epilogue_34,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_34,True,,2,2,1.0,,,,1,idle,,3,idle
event_schooloflock_epilogue_35,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_35,True,,2,2,1.0,,,,1,idle,,3,idle
event_schooloflock_epilogue_36,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_36,True,,2,2,1.0,,,,1,idle,,3,idle
event_schooloflock_epilogue_37,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_37,True,,2,30,0.6,,,,1,idle,,3,rage
event_schooloflock_epilogue_38,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_38,True,,30,XS_10,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_39,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_39,True,,XS_10,XS_10,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_40,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_40,True,,XS_10,XS_10,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_41,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_41,True,,XS_10,XS_10,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_42,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_42,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_43,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_43,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_44,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_44,True,,XS_10,XS_10,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_45,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_45,True,,XS_10,2,1.0,,,,1,idle,,3,rage
event_schooloflock_epilogue_46,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_46,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_47,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_47,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_48,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_48,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_49,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_49,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_50,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_50,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_51,40028,event_schooloflock_epilogue,Speech,ether,ether,Locale_SubScenario:event_schooloflock_epilogue_51,True,,2,2,1.0,,,,1,delight,,3,rage
event_schooloflock_epilogue_52,40028,event_schooloflock_epilogue,Speech,marciana,marciana,Locale_SubScenario:event_schooloflock_epilogue_52,False,,2,2,1.0,,,,1,delight,,3,think
