id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_bluewaterisland2_05_s_1,40021,event_bluewaterisland2_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_05_s_1,True,Beach_d,4,XS_40,0.3,bgm_story_splashpad,,,,,pepper_s,4,angry,,mary_s,1,idle,,neon_s,13,idle,,,,,
event_bluewaterisland2_05_s_2,40021,event_bluewaterisland2_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_05_s_2,True,,XS_40,XS_40,1.0,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_3,40021,event_bluewaterisland2_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_05_s_3,True,,XS_40,12,1.0,,,,,,,4,idle,,,1,idle,,,13,no,,,,,
event_bluewaterisland2_05_s_4,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_4,True,,12,12,1.0,,,,,,,4,idle,,,1,idle,,,13,no,,,,,
event_bluewaterisland2_05_s_5,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_5,True,,12,12,1.0,,,,,,,4,idle,,,1,idle,,,13,no,,,,,
event_bluewaterisland2_05_s_6,40021,event_bluewaterisland2_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_05_s_6,True,,12,12,1.0,,,,,,,4,idle,,,1,idle,,,13,angry,,,,,
event_bluewaterisland2_05_s_7,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_7,False,,12,12,1.0,,,,,,,4,idle,,,1,idle,,,13,angry,,,,,
event_bluewaterisland2_05_s_8,40021,event_bluewaterisland2_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_05_s_8,True,,XS_40,XS_40,1.0,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_9,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_9,False,,black,black,1.0,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_10,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_10,False,,black,black,1.0,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_11,40021,event_bluewaterisland2_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_05_s_11,False,,4,12,0.3,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_12,40021,event_bluewaterisland2_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_05_s_12,False,,12,L_120,1.0,,sfx_scn_waterslide,Low_2,,,,4,angry,,,1,idle,mary_s,,13,idle,neon_s,,,,
event_bluewaterisland2_05_s_13,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_13,False,,L_120,L_120,1.0,,,,,,,4,angry,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_14,40021,event_bluewaterisland2_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_05_s_14,False,,L_120,L_120,1.0,,,,,,,4,surprise,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_15,40021,event_bluewaterisland2_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_05_s_15,True,,L_120,XS_40,0.3,,,Low_2,,,,4,surprise,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_16,40021,event_bluewaterisland2_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_05_s_16,False,,XS_40,4,0.3,,sfx_scn_spraywater,Low_2,,,,4,surprise,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_17,40021,event_bluewaterisland2_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_05_s_17,False,,black,black,1.0,,,,,,,4,surprise,,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_18,40021,event_bluewaterisland2_05_s,Monologue,,Monologue,Locale_SubScenario:event_bluewaterisland2_05_s_18,False,,black,black,1.0,,,,,,,4,surprise,pepper_s,,1,idle,,,13,idle,,,,,
event_bluewaterisland2_05_s_19,40021,event_bluewaterisland2_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_05_s_19,True,,13,XS_130,0.3,,,,,,,4,surprise,,mary_s,1,idle,,neon_s,13,idle,,,,,
event_bluewaterisland2_05_s_20,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_20,True,,XS_130,12,1.0,,,,,,,4,surprise,,,1,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_21,40021,event_bluewaterisland2_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_05_s_21,True,,12,12,1.0,,,,,,,4,surprise,,,1,sad,,,13,angry,,,,,
event_bluewaterisland2_05_s_22,40021,event_bluewaterisland2_05_s,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland2_05_s_22,True,,12,4,1.0,,,,,,pepper_s,4,angry,,,1,sad,,,13,angry,,,,,
event_bluewaterisland2_05_s_23,40021,event_bluewaterisland2_05_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_05_s_23,True,,XS_130,XS_130,1.0,,,,,,,4,angry,,,1,sad,,,13,worry,,,,,
event_bluewaterisland2_05_s_24,40021,event_bluewaterisland2_05_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_05_s_24,False,,1,2,1.0,,sfx_scn_waterwalk,,,,,4,angry,,,2,sad,,,13,worry,,,,,
event_bluewaterisland2_05_s_25,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_25,True,,2,2,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_26,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_26,True,,2,2,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_27,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_27,True,,2,2,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_28,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_28,False,,2,2,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_29,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_29,True,,2,20,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_30,40021,event_bluewaterisland2_05_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_s_30,False,,20,20,1.0,,,,,,,4,angry,,,2,sad,,,13,idle,,,,,
event_bluewaterisland2_05_s_31,40021,event_bluewaterisland2_05_s,Speech,volt,volt,Locale_SubScenario:event_bluewaterisland2_05_s_31,True,Beach_s,5,5,1.0,,sfx_scn_dogbark,,black,,,4,angry,pepper_s,,1,idle,,,13,idle,neon_s,volt,5,idle,
event_bluewaterisland2_05_s_32,40021,event_bluewaterisland2_05_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_s_32,True,,5,1,1.0,,,,,,,,,,,1,idle,,,,,,,5,idle,
