id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_overthehorizon_05_e_1,40081,event_overthehorizon_05_e,Narration,Locale_SubScenario:event_overthehorizon_05_e_1,False,OuterRim,black,black,1.0,sfx_scn_heavytrip,bgm_recognition_underworld,,,,,,,,,
event_overthehorizon_05_e_2,40081,event_overthehorizon_05_e,Monologue,Locale_SubScenario:event_overthehorizon_05_e_2,False,,black,black,1.0,,,overthehorizon_event,1,idle,,,,,,
event_overthehorizon_05_e_3,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_3,False,,overthehorizon_01,overthehorizon_02,1.5,,,,1,idle,,,,,,
event_overthehorizon_05_e_4,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_4,True,,overthehorizon_02,overthehorizon_02,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_5,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_5,True,,overthehorizon_02,overthehorizon_02,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_6,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_6,False,,overthehorizon_02,overthehorizon_02,1.0,,,,1,idle,sora,,,,,
event_overthehorizon_05_e_7,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_7,True,,overthehorizon_02,overthehorizon_02,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_8,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_8,False,,overthehorizon_02,overthehorizon_02,1.0,,,,1,idle,sora,,,,,
event_overthehorizon_05_e_9,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_9,True,,overthehorizon_02,overthehorizon_03,2.5,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_10,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_10,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_11,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_11,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_12,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_12,False,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,,,,,
event_overthehorizon_05_e_13,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_13,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_14,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_14,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_15,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_15,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_16,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_16,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_17,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_17,False,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,,,,,
event_overthehorizon_05_e_18,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_18,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_19,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_19,True,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
event_overthehorizon_05_e_20,40081,event_overthehorizon_05_e,Self,Locale_SubScenario:event_overthehorizon_05_e_20,False,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,,,,,
event_overthehorizon_05_e_21,40081,event_overthehorizon_05_e,Speech,Locale_SubScenario:event_overthehorizon_05_e_21,False,,overthehorizon_03,overthehorizon_03,1.0,,,,1,idle,sora,sora,,,,
