id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_goldencoinrush2_04_s_1,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_1,True,soda_b,1,shy,alice_b,13,idle,CoinRushMainHall,1,S_10,1.0,event_bgm_goldcoinrush_inst,,,
event_goldencoinrush2_04_s_2,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_2,True,,1,shy,,13,idle,,S_10,S_10,1.0,,,,
event_goldencoinrush2_04_s_3,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_3,True,,1,shy,,13,idle,,S_10,S_10,1.0,,,,
event_goldencoinrush2_04_s_4,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_4,True,,1,shy,,13,delight,,S_10,XS_130,1.0,,,,
event_goldencoinrush2_04_s_5,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_5,True,,1,shy,,13,delight,,XS_130,XS_130,1.0,,,,
event_goldencoinrush2_04_s_6,40049,event_goldencoinrush2_04_s,Self,alice_b,,Locale_MainScenario:event_goldencoinrush2_04_s_6,False,,1,shy,,13,delight,,XS_130,XS_130,1.0,,,,
event_goldencoinrush2_04_s_7,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_7,True,,1,shy,,13,delight,,XS_130,12,1.0,,,,
event_goldencoinrush2_04_s_8,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_8,True,,1,shy,,13,delight,,12,12,1.0,,,,
event_goldencoinrush2_04_s_9,40049,event_goldencoinrush2_04_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_04_s_9,True,,1,shy,,13,delight,,12,12,1.0,,,,
event_goldencoinrush2_04_s_10,40049,event_goldencoinrush2_04_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_04_s_10,True,,1,shy,,13,worry,,12,12,1.0,,,,
