id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_fullfoolday_01_1,130001,event_fullfoolday_01,Speech,shifty,shifty,Locale_SubScenario:event_fullfoolday_01_1,True,CommanderRoom,1,1,1.0,bgm_story_breakaway,,shifty_c,OP_center,angry,
event_fullfoolday_01_2,130001,event_fullfoolday_01,Speech,shifty,shifty,Locale_SubScenario:event_fullfoolday_01_2,True,,1,1,1.0,,,,OP_center,angry,
event_fullfoolday_01_3,130001,event_fullfoolday_01,Speech,shifty,shifty,Locale_SubScenario:event_fullfoolday_01_3,True,,1,1,1.0,,,,OP_center,think,
event_fullfoolday_01_4,130001,event_fullfoolday_01,Self,shifty,,Locale_SubScenario:event_fullfoolday_01_4,False,,1,1,1.0,,,,OP_center,think,
event_fullfoolday_01_5,130001,event_fullfoolday_01,Self,shifty,,Locale_SubScenario:event_fullfoolday_01_5,False,,1,1,1.0,,,,OP_center,think,
event_fullfoolday_01_6,130001,event_fullfoolday_01,Speech,shifty,shifty,Locale_SubScenario:event_fullfoolday_01_6,True,,1,1,1.0,,,,OP_center,angry,
event_fullfoolday_01_7,130001,event_fullfoolday_01,Monologue,shifty,,Locale_SubScenario:event_fullfoolday_01_7,False,,1,1,1.0,,sfx_scn_remotesignal,,OP_center,angry,shifty_c
event_fullfoolday_01_8,130001,event_fullfoolday_01,Narration,shifty,,Locale_SubScenario:event_fullfoolday_01_8,False,,1,1,1.0,,sfx_scn_phonevibration,,,,
event_fullfoolday_01_9,130001,event_fullfoolday_01,Monologue,shifty,,Locale_SubScenario:event_fullfoolday_01_9,False,,1,1,1.0,,,,,,
event_fullfoolday_01_10,130001,event_fullfoolday_01,Monologue,shifty,,Locale_SubScenario:event_fullfoolday_01_10,False,,1,1,1.0,,,,,,
event_fullfoolday_01_11,130001,event_fullfoolday_01,Monologue,shifty,,Locale_SubScenario:event_fullfoolday_01_11,False,,1,1,1.0,,,,,,
