id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_queensorder_01_e_1,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_1,True,CommanderRoom,3,3,1.0,bgm_story_fairytalesend_if,,,,mary,3,idle,
event_queensorder_01_e_2,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_2,False,,3,3,1.0,,,,,,3,idle,
event_queensorder_01_e_3,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_3,True,,3,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_4,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_4,False,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_5,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_5,True,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_6,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_6,True,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_7,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_7,True,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_8,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_8,True,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_9,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_9,False,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_10,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_10,True,,XS_30,XS_30,1.0,,,,,,3,idle,
event_queensorder_01_e_11,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_11,True,,XS_30,3,1.0,,,,,,3,idle,
event_queensorder_01_e_12,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_12,False,,3,13,1.0,,,,,,13,idle,
event_queensorder_01_e_13,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_13,True,,13,13,1.0,,,,,,13,idle,
event_queensorder_01_e_14,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_14,True,,13,XS_130,1.5,,,,,,13,idle,
event_queensorder_01_e_15,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_15,True,,XS_130,XS_130,1.0,,,,,,13,idle,
event_queensorder_01_e_16,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_16,True,,XS_130,XS_130,1.0,,,,,,13,idle,
event_queensorder_01_e_17,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_17,True,,XS_130,XS_130,1.0,,,,,,13,idle,
event_queensorder_01_e_18,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_18,False,,XS_130,XS_130,1.0,,,,,,13,idle,
event_queensorder_01_e_19,40015,event_queensorder_01_e,Speech,mary,mary,Locale_SubScenario:event_queensorder_01_e_19,True,,XS_130,13,1.0,,,,,,13,idle,
event_queensorder_01_e_20,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_20,False,,13,13,1.0,,,,,,13,idle,mary
event_queensorder_01_e_21,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_21,False,,13,13,1.0,,,,,,,,
event_queensorder_01_e_22,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_22,False,,13,13,1.0,,,,,,,,
event_queensorder_01_e_23,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_23,False,,13,1,1.0,none,,,,,,,
event_queensorder_01_e_24,40015,event_queensorder_01_e,Narration,,,Locale_SubScenario:event_queensorder_01_e_24,False,,1,10,0.5,,sfx_scn_aim,,,rosanna,1,angry,
event_queensorder_01_e_25,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_25,True,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_26,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_26,False,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_27,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_27,False,,10,1,0.7,bgm_risk,,,,,1,angry,
event_queensorder_01_e_28,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_28,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_29,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_29,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_30,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_30,False,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_31,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_31,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_32,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_32,False,,1,15,1.0,,,,,,1,angry,
event_queensorder_01_e_33,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_33,False,,15,1,1.0,,,,,,1,angry,
event_queensorder_01_e_34,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_34,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_35,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_35,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_36,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_36,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_37,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_37,False,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_38,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_38,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_39,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_39,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_40,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_40,False,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_41,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_41,True,,1,1,1.0,,,,,,1,angry,
event_queensorder_01_e_42,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_42,False,,1,10,1.0,,,,,,1,angry,
event_queensorder_01_e_43,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_43,True,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_44,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_44,False,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_45,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_45,True,,10,10,1.0,,,,,,1,idle,
event_queensorder_01_e_46,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_46,True,,10,10,1.0,,,,,,1,idle,
event_queensorder_01_e_47,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_47,False,,10,10,1.0,,,,,,1,idle,
event_queensorder_01_e_48,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_48,True,,10,10,1.0,,,,,,1,idle,
event_queensorder_01_e_49,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_49,True,,10,10,1.0,,,,,,1,idle,
event_queensorder_01_e_50,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_50,True,,10,100,1.0,,,,,,1,idle,
event_queensorder_01_e_51,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_51,False,,100,100,1.0,,,,,,1,idle,
event_queensorder_01_e_52,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_52,False,,100,100,1.0,,,,,,1,idle,
event_queensorder_01_e_53,40015,event_queensorder_01_e,Narration,,,Locale_SubScenario:event_queensorder_01_e_53,False,,100,100,1.0,,sfx_scn_knock,,,,1,idle,
event_queensorder_01_e_54,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_54,False,,100,10,0.5,,,,,,1,angry,
event_queensorder_01_e_55,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_55,False,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_56,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_56,False,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_57,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_57,False,,10,10,1.0,,,,,,1,angry,
event_queensorder_01_e_58,40015,event_queensorder_01_e,Monologue,,,Locale_SubScenario:event_queensorder_01_e_58,False,,10,150,1.0,,,,,,1,angry,
event_queensorder_01_e_59,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_59,False,,150,150,1.0,,,,,,1,angry,
event_queensorder_01_e_60,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_60,False,,150,150,1.0,,,,,,1,angry,
event_queensorder_01_e_61,40015,event_queensorder_01_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_01_e_61,True,,150,10,1.0,,,,,,1,angry,
event_queensorder_01_e_62,40015,event_queensorder_01_e,Self,,,Locale_SubScenario:event_queensorder_01_e_62,False,,10,10,1.0,,,,,,1,angry,
