id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_contents_voltroad_02_1,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_1,False,Beach_d,9,XS_10,3.0,event_bgm_bluewater_minigame,,,,,volt,1,idle,,,,,,,,
d_contents_voltroad_02_2,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_2,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_3,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_3,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_4,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_4,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_5,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_5,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_6,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_6,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_7,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_7,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_8,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_8,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_9,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_9,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_10,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_10,False,,XS_10,XS_10,0.5,,sfx_scn_howl,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_11,80403,d_contents_voltroad_02,Monologue,Monologue,Monologue,Locale_SubScenario:d_contents_voltroad_02_11,False,,XS_10,XS_10,1.0,,,,,,,1,idle,volt,,,,,,,
d_contents_voltroad_02_12,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_12,True,Beach_s,XS_10,XS_10,1.0,,,black,,,liter_s,1,idle,,,,,,,,
d_contents_voltroad_02_13,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_13,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_14,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_14,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_15,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_15,False,,XS_10,XS_10,1.0,,sfx_scn_dogbark,,,,,1,delight,,,,,,,,
d_contents_voltroad_02_16,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_16,True,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,,,,
d_contents_voltroad_02_17,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_17,True,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,,,,
d_contents_voltroad_02_18,80403,d_contents_voltroad_02,Speech,volt,volt,Locale_SubScenario:d_contents_voltroad_02_18,False,,XS_10,XS_10,1.0,,sfx_scn_dogbark,,,,,1,surprise,,,,,,,,
d_contents_voltroad_02_19,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_19,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_20,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_20,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,,
d_contents_voltroad_02_21,80403,d_contents_voltroad_02,Speech,liter_s,liter,Locale_SubScenario:d_contents_voltroad_02_21,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,,,,
