id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_hightechtoy_05_e_1,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_1,True,CityForest_02,1,1,1.0,bgm_story_orangepop,,laplace,1,idle,,drake,3,idle,maxwell_w,5,idle,,massproduction01,13,idle
event_hightechtoy_05_e_2,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_2,True,,5,5,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_3,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_3,True,,1,1,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_4,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_4,True,,1,113,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_5,40002,event_hightechtoy_05_e,Monologue,massproduction01,,Locale_SubScenario:event_hightechtoy_05_e_5,True,,113,113,1.0,,,,1,idle,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_6,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_6,True,,113,113,1.0,,,,1,no,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_7,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_7,True,,113,S_10,1.0,,,,1,no,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_8,40002,event_hightechtoy_05_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_05_e_8,True,,30,30,1.0,,,,1,no,,,3,angry,,5,idle,,,13,idle
event_hightechtoy_05_e_9,40002,event_hightechtoy_05_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_05_e_9,True,,S_10,S_10,1.0,,,,1,angry,,,3,angry,,5,idle,,,13,idle
event_hightechtoy_05_e_10,40002,event_hightechtoy_05_e,Self,laplace,,Locale_SubScenario:event_hightechtoy_05_e_10,False,,S_10,S_10,1.0,,,,1,angry,,,3,angry,,5,idle,,,13,idle
event_hightechtoy_05_e_11,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_11,False,,13,13,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_12,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_12,True,,5,5,1.0,,,,1,angry,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_13,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_13,True,,5,5,1.0,,,,1,angry,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_14,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_14,True,,13,13,1.0,,,,1,angry,,,3,idle,,5,delight,,,13,idle
event_hightechtoy_05_e_15,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_15,True,,5,5,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_16,40002,event_hightechtoy_05_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_05_e_16,True,,5,5,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
event_hightechtoy_05_e_17,40002,event_hightechtoy_05_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_05_e_17,True,,5,50,1.0,,,,1,angry,,,3,idle,,5,idle,,,13,idle
