id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_absolute1_04_s_1,40086,event_absolute1_04_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_04_s_1,True,NikkeRoom,1,1,1.0,bgm_story_inwonderland,emma_t,2,idle,vesti_t,12,surprise,
event_absolute1_04_s_2,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_2,True,,1,1,1.0,,,2,idle,,12,surprise,
event_absolute1_04_s_3,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_3,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_4,40086,event_absolute1_04_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_04_s_4,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_5,40086,event_absolute1_04_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_04_s_5,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_6,40086,event_absolute1_04_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_04_s_6,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_7,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_7,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_8,40086,event_absolute1_04_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_04_s_8,True,,1,1,1.0,,,2,idle,,12,idle,
event_absolute1_04_s_9,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_9,True,,1,1,1.0,,,2,idle,,12,shy,
event_absolute1_04_s_10,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_10,True,,1,1,1.0,,,2,idle,,12,shy,
event_absolute1_04_s_11,40086,event_absolute1_04_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_04_s_11,True,,1,1,1.0,,,2,idle,,12,shy,
