id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id
event_lordforjustice_03_e_1,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_1,False,moran_c,3,think,d,1,idle,k,13,surprise,ArkRuinIndoor,12,12,1.0,bgm_story_crawlinganxiety,
event_lordforjustice_03_e_2,40078,event_lordforjustice_03_e,Speech,k,k,Locale_SubScenario:event_lordforjustice_03_e_2,False,,3,think,,1,idle,,13,surprise,,12,12,1.0,,
event_lordforjustice_03_e_3,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_3,False,,3,think,,1,idle,,13,surprise,,12,12,1.0,,
event_lordforjustice_03_e_4,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_4,False,,3,think,,1,idle,,13,surprise,,12,12,1.0,,
event_lordforjustice_03_e_5,40078,event_lordforjustice_03_e,Speech,d,d,Locale_SubScenario:event_lordforjustice_03_e_5,False,,3,think,,1,think,,13,surprise,,12,10,1.3,,
event_lordforjustice_03_e_6,40078,event_lordforjustice_03_e,Monologue,d,,Locale_SubScenario:event_lordforjustice_03_e_6,False,,2,think,,16,think,,12,surprise,,black,black,1.0,,
event_lordforjustice_03_e_7,40078,event_lordforjustice_03_e,Monologue,d,,Locale_SubScenario:event_lordforjustice_03_e_7,False,,2,think,,16,think,,12,surprise,,160,160,1.0,,
event_lordforjustice_03_e_8,40078,event_lordforjustice_03_e,Speech,d,d,Locale_SubScenario:event_lordforjustice_03_e_8,False,,2,think,,16,idle,,12,surprise,,160,160,1.0,,
event_lordforjustice_03_e_9,40078,event_lordforjustice_03_e,Speech,d,d,Locale_SubScenario:event_lordforjustice_03_e_9,True,,2,think,,16,idle,,12,surprise,,160,16,1.3,,
event_lordforjustice_03_e_10,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_10,False,,2,think,,16,idle,,12,surprise,,16,16,1.0,,d
event_lordforjustice_03_e_11,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_11,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_12,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_12,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_13,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_13,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_14,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_14,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_15,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_15,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_16,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_16,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_17,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_17,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_18,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_18,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_19,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_19,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_20,40078,event_lordforjustice_03_e,Speech,k,vii,Locale_SubScenario:event_lordforjustice_03_e_20,False,,2,think,,,,,12,surprise,,1,1,1.0,,
event_lordforjustice_03_e_21,40078,event_lordforjustice_03_e,Self,k,,Locale_SubScenario:event_lordforjustice_03_e_21,False,,2,think,,,,,12,surprise,,1,1,1.0,,
