id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_schooloflock_02_s_1,40028,event_schooloflock_02_s,Monologue,Locale_SubScenario:event_schooloflock_02_s_1,False,Office,5,1,1.0,bgm_story_backtonormal,,,,marciana,1,idle
event_schooloflock_02_s_2,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_2,False,,1,1,1.0,,,,,,1,idle
event_schooloflock_02_s_3,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_3,True,,1,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_4,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_4,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_5,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_5,True,,10,10,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_6,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_6,False,,10,10,1.0,,,,,,1,think
event_schooloflock_02_s_7,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_7,True,,10,10,1.0,,marciana,marciana,,,1,delight
event_schooloflock_02_s_8,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_8,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_9,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_9,False,,10,10,1.0,,,,,,1,idle
event_schooloflock_02_s_10,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_10,False,,10,10,1.0,,,,,,1,idle
event_schooloflock_02_s_11,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_11,True,,10,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_12,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_12,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_13,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_13,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_14,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_14,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_15,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_15,True,Classroom,1,16,1.0,,marciana,marciana,Vignetting,,1,idle
event_schooloflock_02_s_16,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_16,True,,16,16,1.0,,marciana,marciana,Vignetting,,1,idle
event_schooloflock_02_s_17,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_17,True,SimulationRoom,16,16,1.0,,marciana,marciana,Vignetting,,1,idle
event_schooloflock_02_s_18,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_18,True,,16,16,1.0,,marciana,marciana,Vignetting,,1,idle
event_schooloflock_02_s_19,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_19,True,Office,16,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_20,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_20,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_21,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_21,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_22,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_22,True,,1,1,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_23,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_23,False,,1,1,1.0,,,,,,1,idle
event_schooloflock_02_s_24,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_24,True,,1,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_25,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_25,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_26,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_26,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_27,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_27,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_28,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_28,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_29,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_29,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_30,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_30,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_31,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_31,False,,10,10,1.0,,,,,,1,idle
event_schooloflock_02_s_32,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_32,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_33,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_33,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_34,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_34,True,,10,10,1.0,,marciana,marciana,,,1,idle
event_schooloflock_02_s_35,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_35,True,,10,10,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_36,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_36,True,,10,10,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_37,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_37,True,,10,10,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_38,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_38,True,,10,1,1.5,,marciana,marciana,,,1,special
event_schooloflock_02_s_39,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_39,True,,1,1,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_40,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_40,True,,1,1,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_41,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_41,False,,1,1,1.0,,,,,,1,think
event_schooloflock_02_s_42,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_42,True,,1,1,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_43,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_43,True,,1,1,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_44,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_44,True,,1,1,1.0,,marciana,marciana,,,1,think
event_schooloflock_02_s_45,40028,event_schooloflock_02_s,Self,Locale_SubScenario:event_schooloflock_02_s_45,False,,1,1,1.0,,,,,,1,think
event_schooloflock_02_s_46,40028,event_schooloflock_02_s,Speech,Locale_SubScenario:event_schooloflock_02_s_46,True,,1,10,1.0,,marciana,marciana,,,1,idle
