id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/5/hide_char_id,characters/6/hide_char_id
event_ce02_2_06_s_1,40027,event_ce02_2_06_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_06_s_1,True,ce_02_01,9,idle,ce_02_npc_01,7,think,rapi,5,idle,neon,3,idle,anis,1,angry,6000d_02,13,idle,c1002_02,15,idle,Factory_n,150,150,1.0,event_bgm_spot_oblivion,,,,
event_ce02_2_06_s_2,40027,event_ce02_2_06_s,Narration,,,Locale_SubScenario:event_ce02_2_06_s_2,False,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,White,150,16,1.0,,,,,
event_ce02_2_06_s_3,40027,event_ce02_2_06_s,Monologue,,,Locale_SubScenario:event_ce02_2_06_s_3,False,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,Factory_n,16,16,1.0,,,,,
event_ce02_2_06_s_4,40027,event_ce02_2_06_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_06_s_4,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,2,2,1.0,,,,,
event_ce02_2_06_s_5,40027,event_ce02_2_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_06_s_5,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,2,2,1.0,,,,,
event_ce02_2_06_s_6,40027,event_ce02_2_06_s,Self,,,Locale_SubScenario:event_ce02_2_06_s_6,False,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,13,13,1.0,,,,,
event_ce02_2_06_s_7,40027,event_ce02_2_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_2_06_s_7,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,13,130,1.0,,,,,
event_ce02_2_06_s_8,40027,event_ce02_2_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_2_06_s_8,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
event_ce02_2_06_s_9,40027,event_ce02_2_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_2_06_s_9,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
event_ce02_2_06_s_10,40027,event_ce02_2_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_06_s_10,True,,9,idle,,7,think,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,10,10,1.0,,,,,
