id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,fade,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_redash2_04_e_1,40032,event_redash2_04_e,Narration,Locale_MainScenario:event_redash2_04_e_1,False,RuinIndoor,black,black,1.0,none,,,,,,,redhood,1,idle,,,,,,,,,,,,,
event_redash2_04_e_2,40032,event_redash2_04_e,Narration,Locale_MainScenario:event_redash2_04_e_2,False,,black,black,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_3,40032,event_redash2_04_e,Narration,Locale_MainScenario:event_redash2_04_e_3,False,,black,black,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_4,40032,event_redash2_04_e,Narration,Locale_MainScenario:event_redash2_04_e_4,False,BattleShipBridge,black,black,1.0,event_bgm_redash_holdyoutight,,,,,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_5,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_5,True,,10,10,1.0,,redhood,redhood,Grey,black,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_6,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_6,True,,10,100,1.0,,redhood,redhood,Grey,,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_7,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_7,True,,100,100,1.0,,redhood,redhood,Grey,,,,,1,idle,,,,,,,,,,,,,
event_redash2_04_e_8,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_8,True,,100,100,1.0,,redhood,redhood,Grey,,,,,1,smile,,,,,,,,,,,,,
event_redash2_04_e_9,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_9,True,land_d,10,10,1.0,,redhood,redhood,Grey,black,,,,1,shy,,dorothy,13,think,,,,,,,,,
event_redash2_04_e_10,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_10,True,,10,113,1.0,,dorothy,dorothy,Grey,,,,,1,shy,,,13,think,,,,,,,,,
event_redash2_04_e_11,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_11,True,,113,113,1.0,,dorothy,dorothy,Grey,,,,,1,shy,,,13,think,,,,,,,,,
event_redash2_04_e_12,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_12,True,,113,113,1.0,,redhood,redhood,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_13,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_13,True,,113,113,1.0,,dorothy,dorothy,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_14,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_14,True,,113,113,1.0,,redhood,redhood,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_15,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_15,True,,113,113,1.0,,dorothy,dorothy,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_16,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_16,True,,113,113,1.0,,redhood,redhood,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_17,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_17,True,,113,113,1.0,,dorothy,dorothy,Grey,,,,,1,surprise,,,13,think,,,,,,,,,
event_redash2_04_e_18,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_18,True,,113,113,1.0,,redhood,redhood,Grey,,,,,1,idle,,,13,think,,,,,,,,,
event_redash2_04_e_19,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_19,True,,113,113,1.0,,dorothy,dorothy,Grey,,,,,1,idle,,,13,think,,,,,,,,,
event_redash2_04_e_20,40032,event_redash2_04_e,Speech,Locale_MainScenario:event_redash2_04_e_20,True,,113,113,1.0,,redhood,redhood,Grey,,,,,1,worry,,,13,think,,,,,,,,,
