id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,jump_target,set_camera_shake
event_maidinvalentine_03_s_1,40007,event_maidinvalentine_03_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_03_s_1,False,CityForest_03_d,4,12,2.0,bgm_story_sundayintheark,,,,,,,,,,,,,,,,,
event_maidinvalentine_03_s_2,40007,event_maidinvalentine_03_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_03_s_2,True,,12,12,1.0,,cocoa,soda,3,idle,ade,1,idle,cocoa,13,serious,,,,,,,
event_maidinvalentine_03_s_3,40007,event_maidinvalentine_03_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_03_s_3,True,,12,12,1.0,,cocoa,,3,idle,,1,idle,,13,serious,,,,,,,
event_maidinvalentine_03_s_4,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_4,True,,12,12,1.0,,ade,,3,idle,,1,idle,,13,serious,,,,,,,
event_maidinvalentine_03_s_5,40007,event_maidinvalentine_03_s,Self,Self,Locale_SubScenario:event_maidinvalentine_03_s_5,False,,12,12,1.0,,,,3,idle,,1,idle,,13,serious,,,,,,,
event_maidinvalentine_03_s_6,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_6,True,,12,12,1.0,,ade,,3,idle,,1,idle,,13,serious,,,,,,,
event_maidinvalentine_03_s_7,40007,event_maidinvalentine_03_s,Narration,Narration,Locale_SubScenario:event_maidinvalentine_03_s_7,False,Storage,black,black,1.0,,,,3,idle,,1,idle,,13,serious,soda,ade,cocoa,sfx_scn_rustydooropen,black,,
event_maidinvalentine_03_s_8,40007,event_maidinvalentine_03_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_03_s_8,False,,2,2,1.0,,,,,,,,,,,,,,,,,,
event_maidinvalentine_03_s_9,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_9,True,,2,2,1.0,,soda,soda,3,sad,ade,1,idle,cocoa,13,idle,,,,,,,
event_maidinvalentine_03_s_10,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_10,True,,2,2,1.0,,soda,,3,sad,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_11,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_11,True,,2,2,1.0,,ade,,3,sad,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_12,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_12,True,,2,2,1.0,,soda,,3,serious,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_13,40007,event_maidinvalentine_03_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_03_s_13,True,,2,2,1.0,,soda,,3,think,,1,idle,,13,idle,,,,,,,
event_maidinvalentine_03_s_14,40007,event_maidinvalentine_03_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_03_s_14,False,,2,2,1.0,,,,5,think,,1,idle,,13,idle,soda,,,,,,
event_maidinvalentine_03_s_15,40007,event_maidinvalentine_03_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_03_s_15,True,,2,1,1.0,,ade,,,,,1,worried,,13,idle,,,,,,,
