id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
d_ex_redash_02_1_1,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_1,False,dorothy,3,think,hongryeon_o,5,rage,ArkRuinIndoor,black,black,1.0,none,,,,,,,,,,,
d_ex_redash_02_1_2,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_2,False,,3,think,,5,rage,,black,black,1.0,bgm_story_epicjazzymoods,,,,,,,,,,,
d_ex_redash_02_1_3,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_3,False,,3,think,,5,rage,,4,4,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_4,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_4,False,,3,think,,5,rage,,4,4,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_5,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_5,False,,3,think,,5,rage,,black,black,1.0,,,,,,,,,,,,
d_ex_redash_02_1_6,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_6,True,,3,think,,5,rage,,3,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_7,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_7,True,,3,think,,5,rage,,5,50,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_8,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_8,True,,3,surprise,,5,rage,,50,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_9,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_9,True,,3,surprise,,5,rage,,30,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_10,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_10,True,,3,surprise,,5,rage,,30,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_11,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_11,True,,3,surprise,,5,go,,30,50,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_12,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_12,True,,3,surprise,,5,go,,50,50,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_13,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_13,True,,3,smile,,5,go,,50,4,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_14,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_14,True,,3,smile,,5,go,,4,4,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_15,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_15,False,,3,smile,,5,rage,,4,4,1.0,,,,,,,,,,,,
d_ex_redash_02_1_16,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_16,False,,3,smile,,5,rage,,4,4,1.0,,,,,,,,,,,,
d_ex_redash_02_1_17,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_17,False,,3,smile,,5,rage,,4,4,1.0,,,,,,,,,,,,
d_ex_redash_02_1_18,80800,d_ex_redash_02_1,Speech,hongryeon_o,Locale_SuddenStory:d_ex_redash_02_1_18,True,,3,smile,,5,go,,50,50,1.0,,hongryeon_o,,,,,,,,,,
d_ex_redash_02_1_19,80800,d_ex_redash_02_1,Speech,dorothy,Locale_SuddenStory:d_ex_redash_02_1_19,True,,3,surprise,,5,go,,30,30,1.0,,dorothy,,,,,,,,,,
d_ex_redash_02_1_20,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_20,False,,3,surprise,,5,go,,13,13,1.0,,,sfx_scn_drawingsword,Low_2,,,,,,,,
d_ex_redash_02_1_21,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_21,False,,3,surprise,,5,go,,13,130,0.5,,,sfx_scn_beatup,Low_2,,,,,,,,
d_ex_redash_02_1_22,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_22,False,,3,surprise,,5,go,,130,130,1.0,,,sfx_scn_heavytrip,Low_2,redhood,9,surprise,,,,,
d_ex_redash_02_1_23,80800,d_ex_redash_02_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_02_1_23,False,,3,surprise,,5,go,,130,170,0.7,,,sfx_scn_run,,,9,surprise,,,,,
d_ex_redash_02_1_24,80800,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_24,True,,3,surprise,,5,go,,7,7,1.0,,redhood,,,,7,surprise,,,,,
d_ex_redash_02_1_25,80800,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_25,True,,3,think,,5,go,,7,8,1.0,,snowwhite_o,,Low_2,,7,surprise,snowwhite_o,9,angry,,
d_ex_redash_02_1_26,80800,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_26,True,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_27,80800,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_27,True,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_28,80800,d_ex_redash_02_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_02_1_28,True,,3,think,,5,go,,8,8,1.0,,redhood,,,,7,surprise,,9,angry,,
d_ex_redash_02_1_29,80800,d_ex_redash_02_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_02_1_29,False,,3,think,,5,go,,8,8,1.0,,snowwhite_o,,,,7,surprise,,9,no,,
