id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_onemoretime_06_s_1,40044,event_onemoretime_06_s,Narration,bay,Locale_SubScenario:event_onemoretime_06_s_1,False,SchoolCorridor,black,black,1.0,none,,,,bay,1,delight,clay,3,idle,poli_c,5,delight,,,,
event_onemoretime_06_s_2,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_2,True,,1,10,0.7,event_bgm_onemoretime,bay,sfx_scn_pompom3,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_3,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_3,True,,10,10,1.0,,bay,sfx_scn_pompom2,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_4,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_4,True,,10,10,1.0,,bay,,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_5,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_5,True,,3,3,1.0,,clay,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_6,40044,event_onemoretime_06_s,Narration,clay,Locale_SubScenario:event_onemoretime_06_s_6,False,,3,30,0.7,,,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_7,40044,event_onemoretime_06_s,Monologue,clay,Locale_SubScenario:event_onemoretime_06_s_7,False,,30,30,1.0,,,,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_8,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_8,True,,2,2,1.0,,bay,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_9,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_9,True,,2,2,1.0,,clay,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_10,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_10,True,,XS_50,XS_50,1.0,,poli_c,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_11,40044,event_onemoretime_06_s,Self,poli_c,Locale_SubScenario:event_onemoretime_06_s_11,False,,XS_50,XS_50,1.0,,,,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_12,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_12,True,,XS_50,XS_50,1.0,,poli_c,,,,1,idle,,3,idle,,5,delight,,,,
event_onemoretime_06_s_13,40044,event_onemoretime_06_s,Narration,poli_c,Locale_SubScenario:event_onemoretime_06_s_13,False,,black,black,1.0,,,,black,,1,idle,,3,idle,,5,delight,,,,
event_onemoretime_06_s_14,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_14,True,,4,4,1.0,,clay,,,,1,idle,,3,sad,,5,sad,,,,
event_onemoretime_06_s_15,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_15,True,,4,4,1.0,,poli_c,,,,1,idle,,3,sad,,5,sad,,,,
event_onemoretime_06_s_16,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_16,True,,4,4,1.0,,clay,,,,1,idle,,3,surprise,,5,sad,,,,
event_onemoretime_06_s_17,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_17,True,,4,4,1.0,,clay,,,,1,idle,,3,surprise,,5,sad,,,,
event_onemoretime_06_s_18,40044,event_onemoretime_06_s,Narration,clay,Locale_SubScenario:event_onemoretime_06_s_18,False,,black,black,1.0,,,sfx_scn_dooropenfast,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_19,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_19,True,,10,10,1.0,,bay,,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_20,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_20,True,,10,10,1.0,,bay,,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_21,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_21,True,,10,2,1.0,,clay,,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_22,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_22,True,,2,2,1.0,,bay,,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_23,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_23,True,,2,2,1.0,,bay,,,,1,idle,,3,surprise,,5,idle,,,,
event_onemoretime_06_s_24,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_24,True,,2,4,1.0,,poli_c,,,,1,idle,,3,surprise,,5,delight,,,,
event_onemoretime_06_s_25,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_25,True,,4,4,1.0,,poli_c,,,,1,idle,,3,surprise,,5,delight,,,,
event_onemoretime_06_s_26,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_26,True,,4,4,1.0,,clay,,,,1,idle,,3,idle,,5,delight,,,,
event_onemoretime_06_s_27,40044,event_onemoretime_06_s,Self,clay,Locale_SubScenario:event_onemoretime_06_s_27,False,,4,4,1.0,,,,,,1,idle,,3,idle,,5,delight,,,,
event_onemoretime_06_s_28,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_28,True,,10,10,1.0,,bay,,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_29,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_29,True,,4,4,1.0,,poli_c,,,,1,delight,,3,idle,,5,delight,,,,
event_onemoretime_06_s_30,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_30,True,,4,4,1.0,,clay,,,,1,delight,,3,delight,,5,delight,,,,
event_onemoretime_06_s_31,40044,event_onemoretime_06_s,Narration,clay,Locale_SubScenario:event_onemoretime_06_s_31,False,,black,black,1.0,,,,black,,1,idle,,3,delight,,5,idle,,,,
event_onemoretime_06_s_32,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_32,True,,10,10,1.0,,bay,,,,1,angry,,3,idle,,5,idle,,,,
event_onemoretime_06_s_33,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_33,True,,10,10,1.0,,bay,,,,1,angry,,3,idle,,5,idle,,,,
event_onemoretime_06_s_34,40044,event_onemoretime_06_s,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_s_34,True,,4,4,1.0,,poli_c,,,,1,idle,,3,idle,,5,idle,,,,
event_onemoretime_06_s_35,40044,event_onemoretime_06_s,Speech,clay,Locale_SubScenario:event_onemoretime_06_s_35,True,,4,4,1.0,,clay,,,,1,idle,,3,idle,,5,idle,,,,
event_onemoretime_06_s_36,40044,event_onemoretime_06_s,Self,clay,Locale_SubScenario:event_onemoretime_06_s_36,False,,4,4,1.0,,,,,,1,idle,,3,idle,,5,idle,,,,
event_onemoretime_06_s_37,40044,event_onemoretime_06_s,Speech,bay,Locale_SubScenario:event_onemoretime_06_s_37,True,,10,10,1.0,,bay,,,,1,worry,,3,idle,,5,idle,,,,
