id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker
event_hightechtoy_03_s_1,40002,event_hightechtoy_03_s,Narration,Locale_SubScenario:event_hightechtoy_03_s_1,False,maxwell_w,1,idle,massproduction01,3,idle,CityForest_02,black,black,1.0,sfx_scn_putdown,bgm_inark,,
event_hightechtoy_03_s_2,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_2,True,,1,idle,,3,idle,,31,31,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_3,40002,event_hightechtoy_03_s,Narration,Locale_SubScenario:event_hightechtoy_03_s_3,False,,1,idle,,3,idle,,31,31,1.0,sfx_scn_doorclose,,,
event_hightechtoy_03_s_4,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_4,True,,1,delight,,3,idle,,31,1,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_5,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_5,True,,1,idle,,3,idle,,1,1,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_6,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_6,False,,1,idle,,3,idle,,1,1,1.0,,,,
event_hightechtoy_03_s_7,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_7,True,,1,idle,,3,idle,,1,10,0.5,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_8,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_8,True,,1,idle,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_9,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_9,False,,1,idle,,3,idle,,10,10,1.0,,,,
event_hightechtoy_03_s_10,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_10,True,,1,idle,,3,idle,,10,10,0.5,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_11,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_11,True,,1,idle,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_12,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_12,True,,1,idle,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_13,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_13,True,,1,idle,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_14,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_14,False,,1,idle,,3,idle,,10,10,1.0,,,,
event_hightechtoy_03_s_15,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_15,True,,1,delight,,3,idle,,10,1,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_16,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_16,True,,1,delight,,3,idle,,1,1,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_17,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_17,True,,1,idle,,3,idle,,1,1,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_18,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_18,False,,1,idle,,3,idle,,1,1,1.0,,,,
event_hightechtoy_03_s_19,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_19,True,,1,idle,,3,idle,,1,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_20,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_20,True,,1,delight,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_21,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_21,True,,1,idle,,3,idle,,10,10,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_22,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_22,False,,1,idle,,3,idle,,10,10,1.0,,,,
event_hightechtoy_03_s_23,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_23,True,,1,idle,,3,idle,,10,31,1.0,,,massproduction01,massproduction01
event_hightechtoy_03_s_24,40002,event_hightechtoy_03_s,Speech,Locale_SubScenario:event_hightechtoy_03_s_24,True,,1,idle,,3,idle,,31,31,1.0,,,maxwell_w,maxwell_w
event_hightechtoy_03_s_25,40002,event_hightechtoy_03_s,Self,Locale_SubScenario:event_hightechtoy_03_s_25,False,,1,idle,,3,idle,,31,31,1.0,,,,
