id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/3/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_goldencoinrush1_06_s_1,40048,event_goldencoinrush1_06_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush1_06_s_1,False,soda_b,5,think,CoinRushMainHall,S_50,S_50,1.0,none,,,,,,,,,,,,,,
event_goldencoinrush1_06_s_2,40048,event_goldencoinrush1_06_s,Monologue,soda_b,,Locale_MainScenario:event_goldencoinrush1_06_s_2,False,,5,think,,S_50,S_50,1.0,,,,,,,,,,,,,,,
event_goldencoinrush1_06_s_3,40048,event_goldencoinrush1_06_s,Monologue,soda_b,,Locale_MainScenario:event_goldencoinrush1_06_s_3,False,,5,think,,S_50,5,1.0,,soda_b,,,,,,,,,,,,,
event_goldencoinrush1_06_s_4,40048,event_goldencoinrush1_06_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_06_s_4,True,,,,,12,12,1.0,bgm_story_orangepop,,milk,3,good,sugar,1,delight,mary_b,13,sad,black,,,
event_goldencoinrush1_06_s_5,40048,event_goldencoinrush1_06_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_06_s_5,True,,,,,12,12,1.0,,,,3,good,,1,delight,,13,sad,,,,
event_goldencoinrush1_06_s_6,40048,event_goldencoinrush1_06_s,Speech,sugar,sugar,Locale_MainScenario:event_goldencoinrush1_06_s_6,True,,,,,12,2,1.0,,,,3,good,,1,delight,,13,sad,,,,
event_goldencoinrush1_06_s_7,40048,event_goldencoinrush1_06_s,Speech,sugar,sugar,Locale_MainScenario:event_goldencoinrush1_06_s_7,True,,,,,2,2,1.0,,,,3,good,,1,delight,,13,sad,,,,
event_goldencoinrush1_06_s_8,40048,event_goldencoinrush1_06_s,Speech,milk,milk,Locale_MainScenario:event_goldencoinrush1_06_s_8,True,,,,,2,2,1.0,,,,3,good,,1,delight,,13,sad,,,,
event_goldencoinrush1_06_s_9,40048,event_goldencoinrush1_06_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_06_s_9,True,,,,,2,12,1.0,,,,3,good,,1,delight,,13,idle,,,,
event_goldencoinrush1_06_s_10,40048,event_goldencoinrush1_06_s,Speech,mary_b,mary_b,Locale_MainScenario:event_goldencoinrush1_06_s_10,True,,,,,12,12,1.0,,,,3,good,,1,delight,,13,idle,,,,
