id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_boomtheghost1_02_e_1,40084,event_boomtheghost1_02_e,Monologue,Locale_MainScenario:event_boomtheghost1_02_e_1,False,Deck_d,black,black,1.0,none,,,,yan,7,sad,,pepper,5,angry,,tove,3,surprise,,centi,1,idle,,dorothy,13,idle,,elegg,15,idle,,rapi_ss,17,delight,
event_boomtheghost1_02_e_2,40084,event_boomtheghost1_02_e,Monologue,Locale_MainScenario:event_boomtheghost1_02_e_2,False,,black,black,1.0,,,,,,7,sad,,,5,angry,,,3,surprise,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_3,40084,event_boomtheghost1_02_e,Monologue,Locale_MainScenario:event_boomtheghost1_02_e_3,False,,black,black,1.0,,,,,,7,sad,,,5,angry,,,3,surprise,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_4,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_4,True,,S_70,S_70,1.0,bgm_story_littlehauntedwaltz,yan,yan,,,7,sad,,,5,angry,,,3,surprise,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_5,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_5,True,,S_70,S_50,1.0,,pepper,pepper,,,7,sad,,,5,angry,,,3,surprise,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_6,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_6,True,,S_50,S_30,1.0,,tove,tove,,,7,sad,,,5,angry,,,3,surprise,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_7,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_7,True,,S_30,31,1.0,,centi,centi,,,7,sad,,,5,angry,,,3,surprise,,,1,surprise,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_8,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_8,False,,31,31,1.0,,tove,tove,,,7,sad,,,5,angry,,,3,no,,,1,surprise,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_9,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_9,True,,S_150,S_150,1.0,,elegg,elegg,,,7,sad,,,5,angry,,,3,no,,,1,surprise,,,13,idle,,,15,idle,,,17,delight,
event_boomtheghost1_02_e_10,40084,event_boomtheghost1_02_e,Speech,Locale_MainScenario:event_boomtheghost1_02_e_10,True,,S_150,S_150,1.0,,elegg,elegg,,,7,sad,,,5,angry,,,3,no,,,1,idle,,,13,idle,,,15,idle,,,17,delight,
