id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_claymore_04_e_1,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_1,False,NikkeRoom,black,black,1.0,none,,,,,,clay,5,idle,,milk,3,surprise,,,,,
event_claymore_04_e_2,40050,event_claymore_04_e,Monologue,Locale_SubScenario:event_claymore_04_e_2,False,,13,130,1.0,bgm_story_leisuretime,,,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_3,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_3,False,,130,130,1.0,,,,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_4,40050,event_claymore_04_e,Monologue,Locale_SubScenario:event_claymore_04_e_4,False,,130,130,1.0,,milk,,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_5,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_5,True,,130,4,1.2,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_6,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_6,True,,4,4,1.0,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_7,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_7,True,,4,4,1.0,,clay,clay,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_8,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_8,True,,4,4,1.0,,clay,clay,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_9,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_9,True,,4,4,1.0,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_10,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_10,True,,4,4,1.0,,clay,clay,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_11,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_11,True,,4,4,1.0,,milk,milk,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_12,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_12,False,,4,4,1.0,,milk,,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_13,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_13,True,,4,4,1.0,,clay,clay,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_14,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_14,False,,4,4,1.0,,clay,,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_15,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_15,False,Park,black,black,1.0,,milk,,black,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_16,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_16,True,,S_30,S_30,1.0,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_17,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_17,True,,S_30,S_30,1.0,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_18,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_18,False,,S_30,S_30,1.0,,milk,,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_19,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_19,True,,50,50,1.0,,clay,clay,,,,,5,surprise,,,3,surprise,,,,,
event_claymore_04_e_20,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_20,True,,50,50,1.0,,clay,clay,,,,,5,surprise,,,3,surprise,,,,,
event_claymore_04_e_21,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_21,True,,50,50,1.0,,clay,clay,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_22,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_22,True,,50,4,1.0,,milk,milk,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_23,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_23,True,,4,4,1.0,,clay,clay,,,,,5,delight,,,3,surprise,,,,,
event_claymore_04_e_24,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_24,True,,4,4,1.0,,clay,clay,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_25,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_25,True,,4,4,1.0,,clay,clay,,,,,5,idle,,,3,surprise,,,,,
event_claymore_04_e_26,40050,event_claymore_04_e,Monologue,Locale_SubScenario:event_claymore_04_e_26,False,,4,4,1.0,,clay,,,,,,5,idle,,,3,surprise,milk,,,,
event_claymore_04_e_27,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_27,False,,4,50,1.0,,clay,,,,,,5,surprise,,,,,,,,,
event_claymore_04_e_28,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_28,True,,50,50,1.0,,clay,clay,,,,,5,surprise,,,,,,,,,
event_claymore_04_e_29,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_29,True,,50,50,1.0,,clay,clay,,,,,5,idle,,,,,,,,,
event_claymore_04_e_30,40050,event_claymore_04_e,Monologue,Locale_SubScenario:event_claymore_04_e_30,False,,black,black,1.0,,clay,,,,,,5,idle,,,,,,,,,
event_claymore_04_e_31,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_31,False,Gym,black,black,1.0,,clay,,black,,,,5,idle,,milk,3,angry,,,,,
event_claymore_04_e_32,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_32,True,,5,50,0.5,,clay,clay,,,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_33,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_33,True,,3,S_30,0.5,,milk,milk,,,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_34,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_34,False,,13,130,0.3,,milk,,,sfx_scn_onetwohard,Low_2,,5,idle,,,3,angry,,,,,
event_claymore_04_e_35,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_35,True,,50,50,1.0,,clay,clay,,,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_36,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_36,False,,13,130,0.3,,clay,,,sfx_scn_onetwohard,Low_2,,5,idle,,,3,angry,,,,,
event_claymore_04_e_37,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_37,True,,50,50,1.0,,clay,clay,,,,,5,special,,,3,angry,,,,,
event_claymore_04_e_38,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_38,True,,50,50,1.0,,clay,clay,,,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_39,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_39,False,,50,50,1.0,,clay,,,,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_40,40050,event_claymore_04_e,Narration,Locale_SubScenario:event_claymore_04_e_40,False,,13,130,0.7,,clay,,,sfx_scn_onetwoexhaust,,,5,idle,,,3,angry,,,,,
event_claymore_04_e_41,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_41,True,,50,50,1.0,,clay,clay,,,,,5,sad,,,3,idle,,,,,
event_claymore_04_e_42,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_42,False,,50,50,1.0,,clay,,,,,,5,sad,,,3,idle,,,,,
event_claymore_04_e_43,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_43,True,,50,50,1.0,,clay,clay,,,,,5,sad,,,3,idle,,,,,
event_claymore_04_e_44,40050,event_claymore_04_e,Self,Locale_SubScenario:event_claymore_04_e_44,False,,50,50,1.0,,clay,,,,,,5,sad,,,3,idle,,,,,
event_claymore_04_e_45,40050,event_claymore_04_e,Speech,Locale_SubScenario:event_claymore_04_e_45,False,,50,5,1.0,,clay,clay,,,,,5,sad,,,3,idle,,,,,
