id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_phantomthiefvsdetective_06_s_1,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_1,True,phantom,6,idle,Drain,6,L_60,1.0,bgm_inark,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_2,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_2,True,,6,idle,,L_60,L_60,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_3,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_3,True,,6,idle,,L_60,L_60,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_4,40059,event_phantomthiefvsdetective_06_s,Choice,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_06_s_4,False,,6,idle,,L_60,L_60,1.0,,event_phantomthiefvsdetective_06_s_6,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_5,40059,event_phantomthiefvsdetective_06_s,Choice,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_06_s_5,False,,6,idle,,L_60,L_60,1.0,,event_phantomthiefvsdetective_06_s_9,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_6,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_6,True,,6,no,,L_60,L_60,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_7,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_7,True,,6,no,,L_60,L_60,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_8,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_8,True,,6,no,,L_60,L_60,1.0,,event_phantomthiefvsdetective_06_s_10,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_9,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_9,True,,6,idle,,L_60,L_60,1.0,,event_phantomthiefvsdetective_06_s_10,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_10,40059,event_phantomthiefvsdetective_06_s,Narration,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_06_s_10,False,,6,idle,,L_60,L_60,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_11,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_11,True,,6,idle,,L_60,L_600,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_12,40059,event_phantomthiefvsdetective_06_s,Narration,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_06_s_12,False,,6,idle,,L_600,L_600,1.0,,,sfx_scn_switchhard,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_13,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_13,True,,6,idle,,L_600,L_600,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_phantomthiefvsdetective_06_s_14,40059,event_phantomthiefvsdetective_06_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_06_s_14,True,,6,idle,,L_600,L_600,1.0,none,,,,,,,,,,,,,,,,,,,,,,
