id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/0/hide_char_id,characters/2/hide_char_id
event_newflavor_06_e_1,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_1,True,andersen,1,idle,Office,L_10,L_10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,
event_newflavor_06_e_2,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_2,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_3,40073,event_newflavor_06_e,Self,andersen,,Locale_SubScenario:event_newflavor_06_e_3,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_4,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_4,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_5,40073,event_newflavor_06_e,Self,andersen,,Locale_SubScenario:event_newflavor_06_e_5,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_6,40073,event_newflavor_06_e,Self,andersen,,Locale_SubScenario:event_newflavor_06_e_6,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_7,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_7,True,,1,think,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_8,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_8,False,,1,think,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_9,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_9,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_10,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_10,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_11,40073,event_newflavor_06_e,Self,andersen,,Locale_SubScenario:event_newflavor_06_e_11,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_12,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_12,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_13,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_13,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_14,40073,event_newflavor_06_e,Speech,andersen,andersen,Locale_SubScenario:event_newflavor_06_e_14,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
event_newflavor_06_e_15,40073,event_newflavor_06_e,Self,andersen,,Locale_SubScenario:event_newflavor_06_e_15,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
