id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,play_sound,characters/1/hide_char_id,characters/2/hide_char_id
event_footstepwalkrun2_06_s_1,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_1,False,rapi_m,1,idle,WasteLand_02,1,10,1.0,none,,,,,,,,,,,,,
event_footstepwalkrun2_06_s_2,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_2,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
event_footstepwalkrun2_06_s_3,40066,event_footstepwalkrun2_06_s,Speech,Locale_MainScenario:event_footstepwalkrun2_06_s_3,True,,1,idle,,10,10,1.0,,rapi_m,rapi_m,,,,,,,,,,,
event_footstepwalkrun2_06_s_4,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_4,False,,1,idle,,10,130,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_5,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_5,False,,1,idle,,130,10,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_6,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_6,False,,1,idle,,10,100,0.7,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_7,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_7,False,,1,idle,,100,300,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_8,40066,event_footstepwalkrun2_06_s,Speech,Locale_MainScenario:event_footstepwalkrun2_06_s_8,True,,1,surprise,,300,100,1.0,,rapi_m,rapi_m,,,,,,,,,,,
event_footstepwalkrun2_06_s_9,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_9,False,,1,surprise,,100,10,1.0,bgm_blackgunsmoke,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_10,40066,event_footstepwalkrun2_06_s,Speech,Locale_MainScenario:event_footstepwalkrun2_06_s_10,False,,1,surprise,,10,10,1.0,,rapi_m,rapi_m,,,,,,,,,,,
event_footstepwalkrun2_06_s_11,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_11,False,,1,idle,,10,10,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_12,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_12,False,,1,idle,,10,100,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_13,40066,event_footstepwalkrun2_06_s,Speech,Locale_MainScenario:event_footstepwalkrun2_06_s_13,False,,1,idle,,100,100,1.0,,rapi_m,rapi_m,,,,,,,,,,,
event_footstepwalkrun2_06_s_14,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_14,False,,1,idle,,100,100,1.0,,rapi_m,,,,,,,,,,,,
event_footstepwalkrun2_06_s_15,40066,event_footstepwalkrun2_06_s,Narration,Locale_MainScenario:event_footstepwalkrun2_06_s_15,False,,1,idle,,100,100,1.0,,rapi_m,,,,,,,,,,,,
