id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,set_camera_shake,set_filter_01,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_boomtheghost1_03_e_1,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_1,False,frima_s,5,sleep_01,Hotel_n,500,500,1.0,none,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_2,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_2,False,,5,sleep_01,,500,500,1.0,,sfx_scn_rustle,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_3,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_3,True,,5,no,,500,50,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_4,40084,event_boomtheghost1_03_e,Speech,frima_s,unknown,Locale_MainScenario:event_boomtheghost1_03_e_4,True,,5,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_5,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_5,True,,5,no,,50,50,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_6,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_6,True,,5,no,,50,50,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_7,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_7,False,,5,think,,50,50,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_8,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_8,False,,5,think,,50,500,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_9,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_9,False,,5,idle,,500,500,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_10,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_10,False,,5,idle,,500,500,1.0,bgm_story_whatsthat,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_11,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_11,True,,5,idle,,500,500,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_12,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_12,False,,5,think,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_13,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_13,False,,5,think,,500,500,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_14,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_14,False,,5,think,,500,500,1.0,,sfx_scn_blanket,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_15,40084,event_boomtheghost1_03_e,Narration,frima_s,,Locale_MainScenario:event_boomtheghost1_03_e_15,False,,5,think,,500,500,1.0,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_16,40084,event_boomtheghost1_03_e,Speech,frima_s,frima_s,Locale_MainScenario:event_boomtheghost1_03_e_16,False,,5,surprise,,500,50,0.5,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_17,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_17,True,,5,surprise,ShoppingStreet_n,S_30,S_30,1.0,,,frima_s,yan_s,3,delight,black,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_18,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_18,True,,,,,S_30,S_30,1.0,,,,,3,delight,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_19,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_19,True,,,,,S_30,S_30,1.0,,,,,3,delight,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_20,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_20,False,,,,,black,black,1.0,,sfx_scn_bell,,,3,delight,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_21,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_21,True,,,,,S_30,S_300,1.0,,,,,3,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_22,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_22,True,,,,,S_300,S_300,1.0,,,,,3,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_23,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_23,False,,,,,S_300,S_300,1.0,,,,,3,etc,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_24,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_24,False,,,,,S_300,S_300,1.0,,,,,3,etc,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_25,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_25,True,,,,,S_300,S_300,1.0,,,,,3,sad,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_26,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_26,False,,,,,black,black,1.0,,sfx_scn_bell,,,3,sad,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_27,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_27,False,,,,,S_300,S_300,1.0,,,,,3,sad,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_28,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_28,False,,,,,S_300,S_30,0.5,,sfx_scn_bell5,,,3,sad,,Low_2,Red,,,,,,,,,,,,,
event_boomtheghost1_03_e_29,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_29,True,,,,,S_30,S_30,1.0,,,,,3,sad,,,Red,,,,,,,,,,,,,
event_boomtheghost1_03_e_30,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_30,False,,,,,black,black,1.0,,,,,3,sad,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_31,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_31,False,,,,,black,black,1.0,,,,,3,sad,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_32,40084,event_boomtheghost1_03_e,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_03_e_32,True,,,,,S_30,S_300,1.0,,,,,3,surprise,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_33,40084,event_boomtheghost1_03_e,Narration,yan_s,,Locale_MainScenario:event_boomtheghost1_03_e_33,False,,,,CruiseShipPool_n,black,black,1.0,,,,,3,surprise,,,,yan_s,pepper_s,1,surprise,tove_s,13,idle,,,,,,
event_boomtheghost1_03_e_34,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_34,True,,,,,1,113,1.0,,,,,,,black,,,,,1,surprise,,13,idle,,,,,,
event_boomtheghost1_03_e_35,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_35,True,,,,,113,113,1.0,,,,,,,,,,,,1,surprise,,13,idle,,,,,,
event_boomtheghost1_03_e_36,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_36,True,,,,,113,113,1.0,,,,,,,,,,,,1,surprise,,13,delight,,,,,,
event_boomtheghost1_03_e_37,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_37,True,,,,,113,113,1.0,,,,,,,,,,,,1,angry,,13,delight,,,,,,
event_boomtheghost1_03_e_38,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_38,True,,,,,113,113,1.0,,,,,,,,,,,,1,angry,,13,worry,,,,,,
event_boomtheghost1_03_e_39,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_39,True,,,,,113,113,1.0,,,,,,,,,,,,1,angry,,13,worry,,,,,,
event_boomtheghost1_03_e_40,40084,event_boomtheghost1_03_e,Narration,pepper_s,,Locale_MainScenario:event_boomtheghost1_03_e_40,False,,,,,black,black,1.0,,sfx_scn_waterbubble,,,,,,,,,,1,angry,,13,worry,,,,,,
event_boomtheghost1_03_e_41,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_41,True,,,,,XS_100,XS_10,1.0,,,,,,,,,,,,1,surprise,,13,worry,,,,,,
event_boomtheghost1_03_e_42,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_42,True,,,,,XS_10,S_130,1.0,,,,,,,,,,,,1,surprise,,13,surprise,,,,,,
event_boomtheghost1_03_e_43,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_43,True,,,,,S_130,S_130,1.0,,,,,,,,,,,,1,surprise,,13,surprise,,,,,,
event_boomtheghost1_03_e_44,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_44,True,,,,,S_130,113,1.0,,,,,,,,,,,,1,angry,,13,surprise,,,,,,
event_boomtheghost1_03_e_45,40084,event_boomtheghost1_03_e,Narration,pepper_s,,Locale_MainScenario:event_boomtheghost1_03_e_45,False,,,,,black,black,1.0,,sfx_scn_waterbubble,,,,,,,,,,1,angry,,13,surprise,,,,,,
event_boomtheghost1_03_e_46,40084,event_boomtheghost1_03_e,Narration,pepper_s,,Locale_MainScenario:event_boomtheghost1_03_e_46,False,,,,,black,black,1.0,,sfx_scn_bigwatersplash,,,,,,,,,,1,angry,,13,surprise,,,,,,
event_boomtheghost1_03_e_47,40084,event_boomtheghost1_03_e,Narration,pepper_s,,Locale_MainScenario:event_boomtheghost1_03_e_47,False,,,,,black,black,1.0,,,,,,,,,,,,1,angry,,13,surprise,,,,,,
event_boomtheghost1_03_e_48,40084,event_boomtheghost1_03_e,Speech,pepper_s,pepper_s,Locale_MainScenario:event_boomtheghost1_03_e_48,False,,,,,XS_10,XS_100,0.5,,,,,,,,,,,,1,surprise,,13,surprise,,,,,,
event_boomtheghost1_03_e_49,40084,event_boomtheghost1_03_e,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_03_e_49,True,,,,,S_130,S_1300,0.5,,,,,,,,,,,,1,surprise,,13,surprise,,,,,,
event_boomtheghost1_03_e_50,40084,event_boomtheghost1_03_e,Narration,tove_s,,Locale_MainScenario:event_boomtheghost1_03_e_50,False,,,,BuildingLobby,black,black,1.0,,sfx_scn_drill,,,,,black,,,,,1,surprise,,13,surprise,pepper_s,tove_s,centi_s,15,idle,
event_boomtheghost1_03_e_51,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_51,True,,,,,L_1500,L_1500,1.0,,,,,,,,,,,,,,,,,,,,15,idle,
event_boomtheghost1_03_e_52,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_52,True,,,,,L_1500,L_150,1.0,,,,,,,,,,,,,,,,,,,,15,idle,
event_boomtheghost1_03_e_53,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_53,True,,,,,L_150,L_150,1.0,,,,,,,,,,,,,,,,,,,,15,idle,
event_boomtheghost1_03_e_54,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_54,False,,,,,L_150,L_150,1.0,,,,,,,,,,,,,,,,,,,,15,idle,
event_boomtheghost1_03_e_55,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_55,False,,,,,L_150,L_170,1.0,,,,,,,,,,,,,,,,,,,,15,idle,
event_boomtheghost1_03_e_56,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_56,True,,,,,L_170,L_150,0.7,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_57,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_57,False,,,,,L_150,L_150,1.0,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_58,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_58,False,,,,,L_150,L_150,1.0,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_59,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_59,True,,,,,L_150,L_1500,1.0,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_60,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_60,False,,,,,L_1500,L_1500,1.0,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_61,40084,event_boomtheghost1_03_e,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_03_e_61,False,,,,,L_1500,L_1500,1.0,,,,,,,,,,,,,,,,,,,,15,surprise,
event_boomtheghost1_03_e_62,40084,event_boomtheghost1_03_e,Narration,centi_s,,Locale_MainScenario:event_boomtheghost1_03_e_62,False,rapi_ss,3,worry,,black,black,1.0,,,,elegg_s,1,idle,,,,,,,,,,,,,,15,surprise,centi_s
event_boomtheghost1_03_e_63,40084,event_boomtheghost1_03_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost1_03_e_63,True,,3,worry,TechIndoor,3,31,1.0,,,,,1,idle,black,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_64,40084,event_boomtheghost1_03_e,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_03_e_64,True,,3,worry,,31,31,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_65,40084,event_boomtheghost1_03_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost1_03_e_65,True,,3,worry,,31,31,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_66,40084,event_boomtheghost1_03_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost1_03_e_66,True,,3,worry,,31,3,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_67,40084,event_boomtheghost1_03_e,Self,rapi_ss,,Locale_MainScenario:event_boomtheghost1_03_e_67,False,,3,worry,,3,30,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_68,40084,event_boomtheghost1_03_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost1_03_e_68,True,,3,worry,,30,30,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
event_boomtheghost1_03_e_69,40084,event_boomtheghost1_03_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost1_03_e_69,True,,3,worry,,30,30,1.0,,,,,1,idle,,,,,,,,,,,,,,,,
