id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,play_sound
snowfall_global_14_default_1,80903,snowfall_global_14,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_default_2,80903,snowfall_global_14,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_14_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_default_3,80903,snowfall_global_14,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_1,80903,snowfall_global_14,Monologue,Locale_SubScenario:snowfall_global_14_1,False,DiningRoom_n,2,2,1.0,amb_so_restaurant_3,event_bgm_neverland_intermissionjam_night,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_2,80903,snowfall_global_14,Monologue,Locale_SubScenario:snowfall_global_14_2,False,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_3,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_3,True,,2,2,1.0,,,,,,emma,emma,signal,9,idle,delta,7,idle,eunhwa,5,idle,vesti,3,idle,emma,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_4,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_4,True,,2,2,1.0,,,,,,emma,emma,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_5,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_5,True,,2,4,1.0,,,,,,vesti,vesti,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_6,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_6,True,,4,4,1.0,,,,,,vesti,vesti,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_7,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_7,True,,4,4,1.0,,,,,,eunhwa,eunhwa,,9,idle,,7,idle,,5,delight,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_8,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_8,True,,4,8,1.0,,,,,,delta,delta,,9,idle,,7,idle,,5,delight,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_9,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_9,True,,8,8,1.0,,,,,,signal,signal,,9,sad,,7,idle,,5,delight,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_10,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_10,True,,8,8,1.0,,,,,,signal,signal,,9,angry,,7,idle,,5,delight,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_11,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_11,True,,8,8,1.0,,,,,,signal,signal,,9,shy,,7,idle,,5,delight,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_12,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_12,True,,8,8,1.0,,,,,,signal,signal,,9,shy,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_14_13,80903,snowfall_global_14,Speech,Locale_SubScenario:snowfall_global_14_13,True,,8,8,1.0,,,,,,delta,delta,,9,shy,,7,delight,,5,idle,,3,idle,,1,idle,belorta,13,idle,,,,,,,,,,,,,,,,,,,
