id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_ce_01_03_e_1,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_1,True,neon,7,idle,rapi,5,idle,anis,3,idle,c_2,1,sad,c_3,13,idle,c_npc_1,15,idle,c_npc_2,17,idle,CityForest_02,4,4,1.0,bgm_distress
event_ce_01_03_e_2,40008,event_ce_01_03_e,Self,,Self,Locale_SubScenario:event_ce_01_03_e_2,False,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_3,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_3,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_4,40008,event_ce_01_03_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_03_e_4,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_5,40008,event_ce_01_03_e,Speech,neon,neon,Locale_SubScenario:event_ce_01_03_e_5,True,,7,surprise,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,6,1.0,
event_ce_01_03_e_6,40008,event_ce_01_03_e,Speech,neon,neon,Locale_SubScenario:event_ce_01_03_e_6,True,,7,surprise,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,6,6,1.0,
event_ce_01_03_e_7,40008,event_ce_01_03_e,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_03_e_7,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,idle,,15,idle,,17,idle,,1,10,0.3,
event_ce_01_03_e_8,40008,event_ce_01_03_e,Self,,Self,Locale_SubScenario:event_ce_01_03_e_8,False,,7,idle,,5,idle,,3,idle,,1,smile,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_9,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_9,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_10,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_10,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_11,40008,event_ce_01_03_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_03_e_11,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,4,4,1.0,
event_ce_01_03_e_12,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_12,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,4,50,2.0,
event_ce_01_03_e_13,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_13,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,
event_ce_01_03_e_14,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_14,True,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,
event_ce_01_03_e_15,40008,event_ce_01_03_e,Self,,Self,Locale_SubScenario:event_ce_01_03_e_15,False,,7,idle,,5,idle,,3,void,,1,sad,,13,idle,,15,idle,,17,idle,,50,50,1.0,
event_ce_01_03_e_16,40008,event_ce_01_03_e,Speech,anis,anis,Locale_SubScenario:event_ce_01_03_e_16,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,12,12,1.0,
event_ce_01_03_e_17,40008,event_ce_01_03_e,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_03_e_17,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,idle,,15,idle,,17,idle,,12,12,1.0,
event_ce_01_03_e_18,40008,event_ce_01_03_e,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_03_e_18,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,smile,,15,idle,,17,idle,,12,12,1.0,
event_ce_01_03_e_19,40008,event_ce_01_03_e,Speech,c_npc_1,c_npc_1,Locale_SubScenario:event_ce_01_03_e_19,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,smile,,15,idle,,17,idle,,12,16,1.0,
event_ce_01_03_e_20,40008,event_ce_01_03_e,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_03_e_20,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,16,16,1.0,
event_ce_01_03_e_21,40008,event_ce_01_03_e,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_e_21,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,idle,,16,16,1.0,
