id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
event_schooloflock_01_s_1,40028,event_schooloflock_01_s,Speech,rapi,rapi,Locale_SubScenario:event_schooloflock_01_s_1,True,rapi,13,idle,anis,1,void,neon,3,idle,CommanderRoom,130,130,1.0,bgm_story_breakaway,
event_schooloflock_01_s_2,40028,event_schooloflock_01_s,Speech,rapi,rapi,Locale_SubScenario:event_schooloflock_01_s_2,True,,13,idle,,1,void,,3,idle,,130,130,1.0,,
event_schooloflock_01_s_3,40028,event_schooloflock_01_s,Self,,,Locale_SubScenario:event_schooloflock_01_s_3,False,,13,idle,,1,void,,3,idle,,130,130,1.0,,
event_schooloflock_01_s_4,40028,event_schooloflock_01_s,Speech,neon,neon,Locale_SubScenario:event_schooloflock_01_s_4,True,,13,idle,,1,void,,3,idle,,130,2,1.0,,
event_schooloflock_01_s_5,40028,event_schooloflock_01_s,Speech,neon,neon,Locale_SubScenario:event_schooloflock_01_s_5,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
event_schooloflock_01_s_6,40028,event_schooloflock_01_s,Speech,neon,neon,Locale_SubScenario:event_schooloflock_01_s_6,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
event_schooloflock_01_s_7,40028,event_schooloflock_01_s,Choice,,,Locale_SubScenario:event_schooloflock_01_s_7,False,,13,idle,,1,void,,3,idle,,2,2,1.0,,event_schooloflock_01_s_9
event_schooloflock_01_s_8,40028,event_schooloflock_01_s,Choice,,,Locale_SubScenario:event_schooloflock_01_s_8,False,,13,idle,,1,void,,3,idle,,2,2,1.0,,event_schooloflock_01_s_13
event_schooloflock_01_s_9,40028,event_schooloflock_01_s,Speech,anis,anis,Locale_SubScenario:event_schooloflock_01_s_9,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
event_schooloflock_01_s_10,40028,event_schooloflock_01_s,Speech,anis,anis,Locale_SubScenario:event_schooloflock_01_s_10,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
event_schooloflock_01_s_11,40028,event_schooloflock_01_s,Speech,anis,anis,Locale_SubScenario:event_schooloflock_01_s_11,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
event_schooloflock_01_s_12,40028,event_schooloflock_01_s,Self,,,Locale_SubScenario:event_schooloflock_01_s_12,False,,13,idle,,1,void,,3,idle,,2,2,1.0,,event_schooloflock_01_s_15
event_schooloflock_01_s_13,40028,event_schooloflock_01_s,Speech,anis,anis,Locale_SubScenario:event_schooloflock_01_s_13,True,,13,idle,,1,void,,3,idle,,2,2,1.0,,
