id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_firstaffection_4_1,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_1,False,OutpostOut,9,1,3.0,none,,,,,,,,
event_firstaffection_4_2,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_2,False,,1,1,1.0,,,,,,,,,
event_firstaffection_4_3,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_3,False,,1,1,1.0,,,,,,,,,
event_firstaffection_4_4,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_4,False,,1,1,1.0,,,,,,,,,
event_firstaffection_4_5,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_5,False,,1,1,1.0,,,,,,,,,
event_firstaffection_4_6,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_6,False,,1,1,1.0,,,,,,,,,
event_firstaffection_4_7,130002,event_firstaffection_04,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_4_7,False,ToyShop,9,31,3.0,bgm_story_girlstalk,sfx_scn_chimebell,black,,,,,,
event_firstaffection_4_8,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_8,True,,31,31,1.0,,,,mica,3,delight,belorta,1,delight
event_firstaffection_4_9,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_9,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_10,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_10,False,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_11,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_11,False,,31,XS_10,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_12,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_12,True,,XS_10,XS_10,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_13,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_13,True,,XS_10,XS_30,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_14,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_14,False,,XS_30,XS_30,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_15,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_15,True,,XS_10,XS_10,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_16,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_16,False,,XS_10,XS_10,1.0,,,,,3,worry,,1,idle
event_firstaffection_4_17,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_17,False,,XS_10,XS_100,1.0,,,,,3,idle,,1,idle
event_firstaffection_4_18,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_18,False,,XS_300,XS_300,1.0,,,,,3,idle,,1,idle
event_firstaffection_4_19,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_19,False,,XS_300,XS_300,1.0,,,,,3,idle,,1,idle
event_firstaffection_4_20,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_20,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_21,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_21,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_22,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_22,False,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_23,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_23,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_24,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_24,False,,31,31,1.0,,,,,3,idle,,1,delight
event_firstaffection_4_25,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_25,False,,31,31,1.0,,,,,3,idle,,1,delight
event_firstaffection_4_26,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_26,False,,31,31,1.0,,,,,3,idle,,1,delight
event_firstaffection_4_27,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_27,True,,31,XS_100,0.5,,,,,3,idle,,1,delight
event_firstaffection_4_28,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_28,False,,XS_100,XS_100,1.0,,,,,3,idle,,1,delight
event_firstaffection_4_29,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_29,True,,XS_300,XS_300,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_30,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_30,True,,XS_300,XS_300,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_31,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_31,True,,XS_300,XS_300,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_32,130002,event_firstaffection_04,Speech,mica,mica,Locale_SubScenario:event_firstaffection_4_32,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_33,130002,event_firstaffection_04,Self,Self,Self,Locale_SubScenario:event_firstaffection_4_33,False,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_34,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_34,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_35,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_35,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_36,130002,event_firstaffection_04,Speech,belorta,belorta,Locale_SubScenario:event_firstaffection_4_36,True,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_37,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_37,False,,31,31,1.0,,,,,3,delight,,1,delight
event_firstaffection_4_38,130002,event_firstaffection_04,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_4_38,False,black,black,black,1.0,,sfx_scn_chimebell,,,3,delight,,1,delight
