id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_lionheart_06_e_1,40037,event_lionheart_06_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_06_e_1,True,land_d,Leo_100,Leo_100,1.0,ambient_scn_wind,,,leona_no,1,idle,,biscuit,13,delight,,,,,
event_lionheart_06_e_2,40037,event_lionheart_06_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_06_e_2,True,,Leo_100,Leo_100,1.0,,,,,1,idle,,,13,delight,,,,,
event_lionheart_06_e_3,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_3,True,,Leo_100,12,2.0,,,,,1,idle,,,13,sad,,,,,
event_lionheart_06_e_4,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_4,True,,12,XS_130,1.0,,,,,1,idle,,,13,angry,,,,,
event_lionheart_06_e_5,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_5,True,,XS_130,XS_130,1.0,,,,,1,idle,,,13,angry,,,,,
event_lionheart_06_e_6,40037,event_lionheart_06_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_06_e_6,True,,Leo_10,Leo_10,1.0,,,,,1,idle,,,13,angry,,,,,
event_lionheart_06_e_7,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_7,True,,XS_130,XS_130,1.0,,,,,1,idle,,,13,sad,,,,,
event_lionheart_06_e_8,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_8,True,,XS_130,XS_130,1.0,,,,,1,idle,,,13,sad,,,,,
event_lionheart_06_e_9,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_9,True,,XS_130,12,1.0,,,,,1,idle,,,13,angry,,,,,
event_lionheart_06_e_10,40037,event_lionheart_06_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_06_e_10,True,,12,12,1.0,,,,,1,idle,,,13,angry,,,,,
event_lionheart_06_e_11,40037,event_lionheart_06_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_06_e_11,True,,12,12,1.0,,,,,1,idle,,,13,angry,,,,,
