id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound
event_forrest_04_e_1,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_1,True,joshhumett,1,idle,land_s,1,1,1.0,event_bgm_neverland_snowflakes_sunset,Vignetting,,,,,,,,,,
event_forrest_04_e_2,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_2,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_3,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_3,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_4,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_4,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_5,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_5,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_6,40072,event_forrest_04_e,Speech,joshhumett,liter,Locale_SubScenario:event_forrest_04_e_6,False,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_7,40072,event_forrest_04_e,Speech,joshhumett,liter,Locale_SubScenario:event_forrest_04_e_7,False,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_8,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_8,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_9,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_9,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
event_forrest_04_e_10,40072,event_forrest_04_e,Speech,joshhumett,joshhumett,Locale_SubScenario:event_forrest_04_e_10,True,,1,idle,,1,1,1.0,,Vignetting,,,,,,,,,,
