id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,jump_target,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_ce004_3_epilogue_1,40057,event_ce004_3_epilogue,Speech,andersen,andersen,Locale_SubScenario:event_ce004_3_epilogue_1,True,mustang,3,idle,andersen,1,idle,syuen,13,idle,ingrid,15,idle,BriefingRoom,L_10,L_10,1.0,bgm_inark,,,,,,,,,,
event_ce004_3_epilogue_2,40057,event_ce004_3_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_ce004_3_epilogue_2,True,,3,idle,,1,idle,,13,idle,,15,idle,,L_10,S_130,1.0,,,,,,,,,,,
event_ce004_3_epilogue_3,40057,event_ce004_3_epilogue,Speech,mustang,mustang,Locale_SubScenario:event_ce004_3_epilogue_3,True,,3,idle,,1,idle,,13,idle,,15,idle,,L_30,L_30,1.0,,,,,,,,,,,
event_ce004_3_epilogue_4,40057,event_ce004_3_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_ce004_3_epilogue_4,True,,3,idle,,1,idle,,13,angry,,15,idle,,S_130,S_130,1.0,,,,,,,,,,,
event_ce004_3_epilogue_5,40057,event_ce004_3_epilogue,Speech,ingrid,ingrid,Locale_SubScenario:event_ce004_3_epilogue_5,True,,3,idle,,1,idle,,13,angry,,15,idle,,S_130,14,1.0,,,,,,,,,,,
event_ce004_3_epilogue_6,40057,event_ce004_3_epilogue,Speech,syuen,syuen,Locale_SubScenario:event_ce004_3_epilogue_6,True,,3,idle,,1,idle,,13,think,,15,idle,,14,14,1.0,,,,,,,,,,,
event_ce004_3_epilogue_7,40057,event_ce004_3_epilogue,Speech,ingrid,ingrid,Locale_SubScenario:event_ce004_3_epilogue_7,True,,3,idle,,1,idle,,13,think,,15,idle,,14,L_150,1.0,,,,,,,,,,,
event_ce004_3_epilogue_8,40057,event_ce004_3_epilogue,Speech,ingrid,ingrid,Locale_SubScenario:event_ce004_3_epilogue_8,True,,3,idle,,1,idle,,13,idle,,15,idle,,L_150,L_150,1.0,,,,,,,,,,,
event_ce004_3_epilogue_9,40057,event_ce004_3_epilogue,Speech,ingrid,ingrid,Locale_SubScenario:event_ce004_3_epilogue_9,True,,3,idle,,1,idle,,13,idle,,15,idle,,L_150,L_150,1.0,,,,,,,,,,,
event_ce004_3_epilogue_10,40057,event_ce004_3_epilogue,Speech,ingrid,ingrid,Locale_SubScenario:event_ce004_3_epilogue_10,True,,3,idle,,1,idle,,13,idle,,15,idle,,L_150,L_150,1.0,,,,,,,,,,,
